mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
529052000,7908770,3EVW4,16,99.59,0,1,3493,0,1,3971,FFA,Kiribati
529069000,9441960,T3KV,13,83,0,1,1995,0,1,2586,CLAV,Kiribati
529086000,9262182,3FEQ5,9,95.2,0,1,2900,0,1,2500,FFA,Kiribati
529087000,8028955,3EYA7,16,99.02,0,1,3363,0,1,5009,CLAV,Kiribati
529089000,9220653,3FRF9,14,95.2,0,1,2495,0,1,3000,FFA,Kiribati
529092000,7352804,T3LU,19,132.77,,1,7595,,1,6685,CLAV,Kiribati
529096000,7908976,3ECZ6,18,137,0,1,6049,0,1,6044,FFA,Kiribati
529101000,7908732,T3MD,16,99.99,0,1,3415,0,1,3853,FFA,Kiribati
529105000,7927453,T3MH,16,99.58,,1,3505,,1,4166,CLAV,Kiribati
529120000,7302299,T3MY,15,104.3,0,1,2910,0,1,3597,FFA,Kiribati
529161000,8024935,T3PR,12,80,0,1,1410,0,1,2300,CLAV,Kiribati
529199000,8513039,DSNV6,18,126,0,1,,,0,6502,CLAV,Kiribati
529268000,7929762,T3UC,16,112.9,0,1,4056,0,1,4275,FFA,Kiribati
529304000,9021277,DSMA2,14,94,,0,2692,0,1,2830,CLAV,Kiribati
529346000,8604967,T3XH,14,94.71,0,1,2525,0,1,2800,encounters,Kiribati
529354000,8421298,T3XR,16,104.47,4.935605333,2,4238,0,1,4277,CLAV,Kiribati
529382000,8914221,3EYI5,16,120.2,0,1,4574,0,1,5470,FFA,Kiribati
529465000,,,,115,,1,5286,,1,,CLAV,Kiribati
529485000,9087908,H9NZ,17,120.75,0,1,4491,0,1,5103,FFA,Kiribati
529523000,9009695,3FKX4,16.62,120.7,0,1,4444,0,1,5226,FFA,Kiribati
529529000,7812074,3FJL9,16,103.73,,1,3835,,1,4392,CLAV,Kiribati
529567000,9003756,T3FN2,16,116.2,0,1,4287,0,1,5181,FFA,Kiribati
529578000,9161613,HOAZ,15,88.17,2.848157299,2,2713,0,1,3051,CLAV,Kiribati
529604000,8221947,3FRQ5,13.21,85.32,3.9103005,2,2047,0,1,2085,CLAV,Kiribati
529605000,9065534,T3HC2,15,97.4,0,1,2839,0,1,2695,FFA,Kiribati
529606000,8627309,E6CH2,21,84.6,0,1,2429,0,1,1451,FFA,Kiribati
529607000,9586332,3FYT4,12,80.68,0,1,1998,0,1,2300,FFA,Kiribati
529608000,9441960,T3HF2,13,82.65,,1,1995,,1,2586,CLAV,Kiribati
529614000,8891302,T3HM2,11,65.23,0,1,991,0,1,1300,CLAV,Kiribati
529615000,9011911,HP6825,13,80.26,0,1,1596,0,1,2000,FFA,Kiribati
529623000,9109500,9LU2435,16.2,96,0,1,3687,,1,3679,CLAV,Kiribati
