mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
273310720,9082180,UHOU,18,133.95,0,1,6971,0,1,7915,encounters,Russian Federation
273311330,9101857,UELF,9,54.99,0,1,683,0,1,529,encounters,Russian Federation
273311860,8516615,UFWZ,17,103,0,1,4295,0,1,3750,encounters,Russian Federation
273312860,8516639,UERQ,17.03,103,0,1,4295,0,1,3642,encounters,Russian Federation
273313270,8516627,UFEF,17,103,0,1,4298,0,1,3750,encounters,Russian Federation
273313840,7908562,UHOJ,11,69.65,0,1,1173,0,1,1211,ITU,Russian Federation
273313950,7700099,UHVP,13,78.11,0,1,1728,0,1,2175,encounters,Russian Federation
273316040,8225668,UIVV,12,82.02,0,1,1597,0,1,1400,ITU,Russian Federation
273316230,8518895,UBWH,16,105.23,0,1,3634,0,1,4200,encounters,Russian Federation
273317370,8216916,UCGW,19,125.3,0,1,5874,0,1,6060,encounters,Russian Federation
273317810,7700087,UCTB,12,78.11,0,1,1728,0,1,2175,encounters,Russian Federation
273319440,8512011,UGNI,18,115,0,1,5131,0,1,6499,encounters,Russian Federation
273324210,8223464,UFOR,16,99.01,0,1,3526,0,1,4156,encounters,Russian Federation
273330280,9175286,UEEJ,18,133.81,0,1,6971,0,1,7836,encounters,Russian Federation
273331810,8403363,UBIF5,11,69.7,0,1,1266,0,1,1156,encounters,Russian Federation
273332290,9076272,UFLQ,18,134,0,1,6964,0,1,6670,CLAV,Russian Federation
273332291,,,,,,0,,,0,,CLAV,Russian Federation
273332299,,,,,,0,,,0,,CLAV,Russian Federation
273332302,9076272,UFLQ,18,123,0,1,6964,0,1,6670,CLAV,Russian Federation
273332326,,,,,,0,,,0,,CLAV,Russian Federation
273335960,9081631,UGKH,18,133.95,0,1,6964,0,1,7843,encounters,Russian Federation
273337510,8509571,UBGF5,19,124.5,0,1,7392,0,1,6628,encounters,Russian Federation
273338510,8509583,UBGF6,19,124.19,0,1,7057,0,1,6366,encounters,Russian Federation
273342230,8513273,UBCG5,15,95.31,0,1,2913,0,1,2686,encounters,Russian Federation
273344710,8609802,UBSE4,17,90,0,1,3403,0,1,3939,encounters,Russian Federation
273347980,,UADD4,12,82,0,1,930,0,0,,ITU,Russian Federation
273348520,8613542,UBZE3,13,79,0,1,1846,0,1,1752,encounters,Russian Federation
273348810,8609814,UBTE5,17,94.32,0,1,3401,0,1,3933,encounters,Russian Federation
273349420,8304402,UHBM,10,58.2,0,1,795,0,1,535,encounters,Russian Federation
273349530,8609163,UBFG2,18,124.68,0,1,4936,0,1,6544,encounters,Russian Federation
273349630,8712300,UBFG9,11,63,0,1,933,0,1,887,encounters,Russian Federation
273350580,9057393,UBEJ2,18,133.95,0,1,6971,0,1,7911,encounters,Russian Federation
273351170,8320834,UBRI2,18,115.14,0,1,5292,0,1,6023,CLAV,Russian Federation
273351650,8811572,UACD8,11,82,0,1,1296,0,1,1021,ITU,Russian Federation
273351900,8502793,UBLG2,12,71,0,1,1412,0,1,1516,encounters,Russian Federation
273352700,9004358,UIAE,12,71,0,1,1448,0,1,1521,encounters,Russian Federation
273352840,8421200,UBCI2,22,152.94,0,1,12383,0,1,9360,encounters,Russian Federation
273353310,7809106,UBMZ,16,122.76,0,1,4495,0,1,5215,encounters,Russian Federation
273353640,8603171,UBZH8,17,116.57,0,1,4148,0,1,4939,FFA,Russian Federation
273353800,8509569,UBKG5,19,124.24,0,1,7389,0,1,6232,encounters,Russian Federation
273354620,8617770,UBFH2,13,84,0,1,1915,0,1,1958,encounters,Russian Federation
273354740,9081643,UBYH9,18,133.81,0,1,6964,0,1,6712,encounters,Russian Federation
273354770,9081655,UBXI2,18,133.77,0,1,6971,0,1,6720,encounters,Russian Federation
273355540,8403961,UBYH6,10,63,0,1,1045,0,1,960,encounters,Russian Federation
273356010,7723027,5VDP4,11,68,0,1,1077,0,1,1070,encounters,Russian Federation
273356290,8710352,UBOJ9,18,137.55,0,1,6154,0,1,7190,encounters,Russian Federation
273356610,8136740,UBXG4,23,172,0,1,13496,0,1,14197,encounters,Russian Federation
273356760,9054858,UBOI9,14.62,94,0,1,2712,0,1,3953,CLAV,Russian Federation
273357670,8860432,UBWI5,18,133.95,0,1,6971,0,1,7911,encounters,Russian Federation
273358410,8210247,UHJK,16,92.23,0,1,3235,0,1,3930,encounters,Russian Federation
273358510,8216198,UAID,14,91.85,0,1,2618,0,1,2725,CLAV,Russian Federation
273358660,7929786,UBNI6,11,69.75,0,1,1218,0,1,1167,encounters,Russian Federation
273358980,9081667,UBMJ3,18,133.95,0,1,6971,0,1,7836,encounters,Russian Federation
273359920,8826759,UBIH4,18,134,0,1,6989,0,1,5250,encounters,Russian Federation
273367690,8404575,UBGM2,15,95,0,1,3219,0,1,2349,ITU,Russian Federation
273374170,9175274,UBJN2,18,134,0,1,6971,0,1,6709,encounters,Russian Federation
273378130,9000364,UBQM4,17,120,0,1,4488,0,1,5109,encounters,Russian Federation
273381350,9061899,UARD,21,141.58,0,1,8609,0,1,8803,ITU,Russian Federation
273384930,9196357,UAPA,20,136.42,0,1,7355,0,1,8762,ITU,Russian Federation
273385120,8810190,UBZN7,15,99,0,1,3351,0,1,3202,ITU,Russian Federation
273385860,8502432,3FZW3,,102.8,,,4109,,,,ICCAT,Russian Federation
273410910,8423612,UGFF,13,85.1,0,1,2418,0,1,1184,encounters,Russian Federation
273420160,7826154,UBOR,13,90.89,0,1,2545,0,1,1895,encounters,Russian Federation
273420240,8729183,UERA,18,133.95,0,1,6998,0,1,7912,encounters,Russian Federation
273421240,8723402,UERJ,18,126.6,0,1,6689,0,1,6579,encounters,Russian Federation
273421470,7723065,UFOC,22,154.9,0,1,12282,0,1,13837,encounters,Russian Federation
273422240,8832069,UEZS,18,133.95,0,1,6998,0,1,7912,encounters,Russian Federation
273425770,8422931,UBFQ,18,126.6,0,1,6607,0,1,7469,encounters,Russian Federation
273429140,8701038,UIQL,22.22,152.94,0,1,12410,0,1,10085,encounters,Russian Federation
273430160,8520563,UHCL,13,82.9,0,1,1787,0,1,1800,encounters,Russian Federation
273433460,8723309,UDWZ,13,85.1,0,1,2399,0,1,1168,encounters,Russian Federation
273434600,8729200,UEZM,9,54.9,0,1,683,0,1,523,encounters,Russian Federation
273435310,8723311,,13,85.1,0,1,2399,0,1,1211,encounters,Russian Federation
273440860,8727343,UERV,8,48.88,0,1,488,0,1,431,encounters,Russian Federation
273441270,7821910,UFTA,11,68.61,0,1,1150,0,1,1114,encounters,Russian Federation
273441670,7700116,UDOW,13,71,0,1,1727,0,1,2175,ITU,Russian Federation
273442580,9012214,UFCR,10,71.1,0,1,959,0,1,701,encounters,Russian Federation
273442740,8313879,UDVM,15,94.87,0,1,3226,0,1,2397,encounters,Russian Federation
273449510,8842533,UHYG,13,85,0,1,2342,0,1,901,ITU,Russian Federation
273449760,7808322,UERU,13,95.61,0,1,2210,0,1,3098,encounters,Russian Federation
273459100,8933837,UAGE,7.08,31.85,0,1,190,0,1,70,ITU,Russian Federation
273459400,8880523,UAJV,9,54.99,0,1,683,0,1,520,encounters,Russian Federation
273511500,7642663,UFNO,23.04,172.09,0,1,13485,0,1,13303,ITU,Russian Federation
273512400,8225723,UIMH,22,152.69,0,1,12527,0,1,12243,encounters,Russian Federation
273811020,8834483,UIWB,18,133.95,0,1,6998,0,1,7912,encounters,Russian Federation
273812710,8610277,UDVB,28,179.2,0,1,32096,0,1,10200,ITU,Russian Federation
273814050,8226973,UHWR,14,95.28,0,1,2673,0,1,1880,encounters,Russian Federation
273815000,8881357,UAKG,13,85.06,0,1,2489,0,1,1061,ITU,Russian Federation
273815020,8723373,UIUS,18,126.6,0,1,6665,0,1,7467,encounters,Russian Federation
273815050,8033857,UHWS,14,95.28,0,1,2673,0,1,1880,encounters,Russian Federation
273816010,8225711,UIIC,22,152.7,0,1,12703,0,1,13879,encounters,Russian Federation
273816020,8326113,UIUT,22,152.79,0,1,12383,0,1,10055,encounters,Russian Federation
273817200,9076595,UDDF,9,54.99,0,1,683,0,1,529,encounters,Russian Federation
273818000,9125920,UCBY,13,85.06,0,1,2392,0,1,1235,ITU,Russian Federation
273820900,8724389,UEVR,9,55.01,0,1,677,0,1,483,encounters,Russian Federation
273824020,8857796,UEFY,9,54.99,0,1,796,0,1,486,encounters,Russian Federation
273825810,8035087,UHTH,10,55,0,1,676,0,1,495,encounters,Russian Federation
273827710,8727147,UFBO,9,55,0,1,683,0,1,474,encounters,Russian Federation
273828310,8225503,UEEC,15,101.89,0,1,4014,0,1,2244,ITU,Russian Federation
273829410,8842997,UEKI,9,55,0,1,683,0,1,529,encounters,Russian Federation
273833000,8623925,UIEI,18,126.6,0,1,6665,0,1,7468,encounters,Russian Federation
273842700,8858544,UDKC,9,54.99,0,1,683,0,1,529,encounters,Russian Federation
273844500,8835968,UCXC,9,54.99,0,1,683,0,1,529,encounters,Russian Federation
273844700,8884256,UHWT,9,54.99,0,1,683,0,1,529,ITU,Russian Federation
273851400,,,,,0,0,,0,0,,ITU,Russian Federation
273875400,8724420,UGCQ,9,55,0,1,677,0,1,483,encounters,Russian Federation
273892210,8038170,UHUV,9,55.02,0,1,677,0,1,495,encounters,Russian Federation
273895510,8730089,UHSV,9.5,54.92,0,1,683,0,1,523,encounters,Russian Federation
277099000,8506737,LYKM,16,112,0,1,3999,0,1,5002,CLAV,Lithuania
277247000,8818893,5IM577,16,106.03,0,1,3939,0,1,7250,CLAV,Lithuania
277312000,8806242,LYRJ,32,132.31,5.239661249,2,5899,0,1,6565,CLAV,Lithuania
277327000,9009683,LYRT,17,113.3,,1,4587,,1,5065,CLAV,Lithuania
277331000,8618853,LYRW,20,137,0,1,7212,0,1,6536,CLAV,Lithuania
277348000,9047257,LYSG,20.8,134.01,0.014142136,2,7313,0,1,8043,CLAV,Lithuania
277380000,9047257,LYSG,21,134.02,0,1,7313,0,1,8045,CLAV,Lithuania
277397000,9047269,LYTA,21,134.01,0.014142136,2,7326,0,1,8043,CLAV,Lithuania
306073000,9076246,DUGQ,18,133.95,0,1,6964,0,1,6620,CLAV,Netherland Antillies
306083000,9267534,PJOT,25,185.91,0,1,18931,0,1,16478,ITU,Netherland Antillies
306126000,7802419,PJOJ,15,83.39,0,1,2595,0,1,2854,ITU,Netherland Antillies
306303000,9135169,3FIC4,22,143,0,1,8896,0,1,9638,ITU,Netherland Antillies
306337000,8705668,PJBZ,20,137.49,0,1,8984,0,1,6703,ITU,Netherland Antillies
306497000,8514784,PJHA,17,110.7,6.109402589,2,4440,0,1,5508,CLAV,Netherland Antillies
306509000,8812796,PJJH,16,105.35,0,1,4190,0,1,4468,CLAV,Netherland Antillies
306511000,8812801,UIIA,16,105.35,,1,4190,,1,4487,CLAV,Netherland Antillies
306752000,8813635,PJUP,18,124.7,,1,5476,,1,6729,CLAV,Netherland Antillies
306796000,8917211,PJQV,16.2,102.86,,1,4263,,1,5900,CLAV,Netherland Antillies
306862000,8807636,PJYM,16.43,108.81,,1,4666,,1,4433,CLAV,Netherland Antillies
306866000,9163403,D5JZ8,18,117,0,1,5100,0,1,5937,CLAV,Netherland Antillies
306871000,9120205,PCOZ,18,117,0,1,5110,0,1,5970,CLAV,Netherland Antillies
306872000,9120217,PJYS,18,117.27,0,1,5100,0,1,5970,CLAV,Netherland Antillies
306873000,9135822,PCPM,17.53,117,0,1,5100,0,1,5937,CLAV,Netherland Antillies
308090000,9015187,C6KD8,24,158.9,0,1,13049,0,1,13930,ITU,Bahamas
308121000,9015204,C6KD7,24,158.13,0,1,13049,0,1,13930,ITU,Bahamas
308122000,9015199,C6KD6,24,158.13,0,1,13049,0,1,13958,ITU,Bahamas
308126000,9030149,C6KD4,24,158.13,0,1,13049,0,1,13930,ITU,Bahamas
308228000,9001916,C6VY8,16,108.22,0,1,4091,0,1,5416,ITU,Bahamas
308438000,9030137,C6KD5,24,158.13,0,1,13049,0,1,13930,ITU,Bahamas
308511000,9059602,C6LU3,25,178.5,0,1,14061,0,1,14160,ITU,Bahamas
308512000,9059640,C6LU4,25,178.5,0,1,14061,0,1,14140,ITU,Bahamas
308541000,8804529,C6IB5,18,109,0,1,5084,0,1,6120,ITU,Bahamas
308564000,9009669,D7AL,18,115,0,1,5225,0,1,6454,encounters,Bahamas
308572000,9019640,C6PX2,21,148.8,0,1,9070,0,1,11579,ITU,Bahamas
308668000,9038335,C6LF9,24,158.13,0,1,13077,0,1,13981,ITU,Bahamas
308701000,9059614,C6QK,25,178.5,0,1,14061,0,1,14140,ITU,Bahamas
308765000,8517346,9LU2195,19,145.55,0,1,6579,0,1,7690,encounters,Bahamas
308868000,8912144,C6WA6,20,131.25,0,1,7743,0,1,7726,ITU,Bahamas
309075000,9014755,C6VR4,23,156.53,0,1,10842,0,1,12890,ITU,Bahamas
309165000,9001904,C6VY9,16,108.22,0,1,4091,0,1,5416,ITU,Bahamas
309193000,9007489,C6VB9,24,164.3,0,1,14406,0,1,16950,ITU,Bahamas
309281000,9045780,C6WH9,20,131.25,0,1,7743,0,1,7721,ITU,Bahamas
309361000,8922242,C6VZ4,16.33,109.85,0,1,3999,0,1,5129,ITU,Bahamas
309578000,8801814,3FYF8,21,141,0,1,8487,0,1,9727,CLAV,Bahamas
309681000,9045792,C6WH6,20,131.25,0,1,7743,0,1,7721,ITU,Bahamas
309689000,8912120,C6WB3,19.63,131.25,0,1,7743,0,1,7726,ITU,Bahamas
309716000,9014767,C6VR5,23,156.53,0,1,10842,0,1,12891,ITU,Bahamas
309841000,9008732,C6OU9,23,150.01,0,1,10412,0,1,10713,ITU,Bahamas
310746848,,,,,,0,,,0,,CLAV,Bermuda
311000433,8400050,C6CC5,16,95.51,0,1,3968,0,1,2607,ITU,Bahamas
311004000,9043055,C6VY2,16,135.7,0,1,5103,0,1,6105,encounters,Bahamas
311009400,8804531,C6XH2,18,109,0,1,5084,0,1,6120,ITU,Bahamas
311009500,8804555,C6XH3,18,109,0,1,5084,0,1,6129,ITU,Bahamas
311011400,8804543,C6XJ4,18,109,0,1,5084,0,1,6123,ITU,Bahamas
311029000,9011492,C6VY3,16,135.7,0,1,5103,0,1,6116,ITU,Bahamas
311040500,8804567,C6YO8,18,109,0,1,5084,0,1,6120,ITU,Bahamas
311042300,9015785,D5IJ6,19,119.37,0.317542648,2,5617,0,1,7075,CLAV,Bahamas
311051000,8912156,C6WH7,20,131.25,0,1,7743,0,1,7726,ITU,Bahamas
311054900,9189897,C6ZG7,22,144.52,0,1,9649,0,1,11793,ITU,Bahamas
311062300,8819938,C6ZP6,24,164.3,0,1,14406,0,1,16950,ITU,Bahamas
311087000,8408894,C6FR8,22,149.41,0,1,9749,0,1,11998,ITU,Bahamas
311088000,8408882,C6FR9,22,141.3,0,1,9749,0,1,11998,ITU,Bahamas
311121000,8407814,C6RN9,24,169.09,0,1,12659,0,1,13584,ITU,Bahamas
311122000,8413019,C6RO2,24,169.1,0,1,12659,0,1,13584,ITU,Bahamas
311123000,8410586,3FXQ9,24,169,0,1,12660,0,1,13613,encounters,Bahamas
311127000,9019119,C6RO7,23,150.35,0,1,10614,0,1,10629,ITU,Bahamas
311289000,8912132,C6WH8,20,131.25,0,1,7743,0,1,7726,ITU,Bahamas
311294000,9046538,C6FS3,23,141.17,0,1,10584,0,1,10282,ITU,Bahamas
311295000,9046526,C6FS4,23,141.17,0,1,10584,0,1,10288,ITU,Bahamas
311296000,9046514,C6FS5,22.6,141.17,0,1,10584,0,1,10288,ITU,Bahamas
311297000,9046502,C6FS6,23,141.17,0,1,10584,0,1,10600,ITU,Bahamas
311367000,8412687,C6SK3,16,85.93,0,1,3398,0,1,2979,ITU,Bahamas
311411000,8412699,C6SO4,16,85.93,0,1,3399,0,1,2900,ITU,Bahamas
311433000,8300365,C6SQ5,24,144.6,0,1,12383,0,1,14786,ITU,Bahamas
311449000,8822595,C6VY4,16,135.7,0,1,5103,0,1,6116,ITU,Bahamas
311461000,8822583,C6VY5,16,135.7,0,1,5103,0,1,6116,ITU,Bahamas
311663000,8816170,C6TJ3,24,158.5,0,1,11658,0,1,12714,ITU,Bahamas
311665000,8907876,C6TJ6,24,152,0,1,13099,0,1,12974,ITU,Bahamas
311667000,8700230,C6TJ8,24,152,0,1,13312,0,1,12838,ITU,Bahamas
311668000,8917584,C6TJ9,20,140.5,0,1,7944,0,1,11103,ITU,Bahamas
311907000,9053658,C6UG6,23,150,0,1,10375,0,1,10520,ITU,Bahamas
311955000,8917560,C6UL9,20,140.5,0,1,7944,0,1,11095,ITU,Bahamas
311956000,8917546,C6UM2,20,140.5,0,1,7944,0,1,11095,ITU,Bahamas
311957000,8917572,C6UM3,20,140.5,0,1,7944,0,1,11095,ITU,Bahamas
312097000,7507033,V3JL2,16.03,45.01,39.92372603,3,1122,1736.664331,3,2385,CLAV,Belize
312174000,8210259,V4ET3,16,92.23,,1,3246,,1,3945,CLAV,Belize
312273000,9016961,3FCO5,22,150.09,4.930571299,2,12413,0,1,11691,CLAV,Belize
312284000,8872801,V3YC7,17.8,109.7,0,1,5624,0,1,7158,CLAV,Belize
312377000,8217104,H8IL,18,117.28,0,1,5070,0,1,6465,CLAV,Belize
312387000,8223816,V3FK,12,64.75,,1,1238,,1,1256,CLAV,Belize
312413000,9168362,V3YX4,12.7,68,0,1,1316,0,1,1635,CLAV,Belize
312534000,7816472,V3RZ6,14.2,76.67,,1,2617,,1,1960,CLAV,Belize
312621000,9044358,T3TB2,22.2,152.94,0,1,12413,0,1,9360,CLAV,Belize
312774000,8908739,HONN,12,76.87,3.988082246,2,1610,0,1,1494,CLAV,Belize
312820000,8695863,V3ZN6,16,137,,1,7212,,1,,CLAV,Belize
312844000,8813582,3EMW4,19,138.9,,1,6545,0,1,7168,CLAV,Belize
312845000,8503242,E5U2582,16,112,0,1,3936,0,1,3621,CLAV,Belize
312862000,8215936,D6A2149,16.34,108.76,,1,3960,,1,5220,CLAV,Belize
312887000,8800236,3EIN8,18,122.85,3.695,2,4970,0,1,6522,CLAV,Belize
312932000,7927037,5VDJ9,12,65.85,,1,1980,,1,1195,CLAV,Belize
314010000,9128037,8PLI,23,151.99,0,1,10519,0,1,10351,ITU,Barbados
314011000,8802088,8PLK,23,156.8,0,1,10842,0,1,12942,ITU,Barbados
314236000,8221856,8PTR,23,151.5,0,1,10535,0,1,10601,ITU,Barbados
334567000,7637591,HQXO6,14,103,,1,2989,,1,3536,CLAV,Honduras
334816000,8035491,HQXQ6,10,60.33,0,1,459,0,1,1120,ITU,Honduras
341009000,8845717,V4KD2,18,133.95,0,1,6989,0,1,7911,encounters,Saint Kitts and Nevis
341049000,8860444,V4KI2,18,133.95,0,1,6989,0,1,7911,encounters,Saint Kitts and Nevis
341095000,7359278,V4JW2,11,74.12,0,1,1327,0,1,1666,encounters,Saint Kitts and Nevis
341307000,8509557,V4OQ2,19,123,0,1,7395,0,1,6232,encounters,Saint Kitts and Nevis
341537000,8408258,V4BH3,12,71,0,1,1416,0,1,1363,encounters,Saint Kitts and Nevis
341759000,9076258,V4RV2,18,133.95,0,1,6964,0,1,6715,encounters,Saint Kitts and Nevis
341838000,8210259,V4ET3,16,92,0,1,3246,0,1,3945,CLAV,Saint Kitts and Nevis
341844000,8880511,V4VZ2,9,54.99,0,1,683,0,1,510,encounters,Saint Kitts and Nevis
341891000,8920983,V4WE2,18,108,0,1,5084,0,1,6120,encounters,Saint Kitts and Nevis
351219000,,,,,,0,,,0,,CLAV,Panama
351336000,9227596,H3QQ,21,135.03,0,1,7367,0,1,8105,ITU,Panama
351350000,9698343,3FVR4,17,113.16,,1,4546,0,1,5960,CLAV,Panama
351370000,8612304,T3HT2,16.5,120.6,,1,4961,,1,5691,CLAV,Panama
351478000,8908076,3FNT8,22,144.34,0,1,8996,4832.367743,2,13305,CLAV,Panama
351493000,8210338,HP7289,12,65.85,0,1,1246,0,1,1229,ITU,Panama
351527000,8217104,H8IL,18,125,0,1,5070,0,1,6465,encounters,Panama
351537000,8688755,3FOH6,16,98,0,1,3298,0,0,3400,ITU,Panama
351747000,9196357,UAPA,20,126.39,0,1,7355,0,1,8762,CLAV,Panama
351763000,8214839,3FRT,22,143.52,0,1,8739,0,1,9746,encounters,Panama
351776000,8130837,3FIY4,18,145.55,0,1,6183,0,1,6404,encounters,Panama
351827000,9159115,3FYV7,23,151.99,0,1,10519,0,1,10334,ITU,Panama
352055000,9057393,UBEJ2,18,133.75,,1,6971,,1,7911,CLAV,Panama
352085000,8518819,3FDZ4,18,124.7,,1,4964,,1,6541,CLAV,Panama
352135000,7302299,T3MY,,104,,,2910,,,,WCPFC,Kiribati
352199000,8919893,HODS,16,120,0,1,4574,0,1,5517,ITU,Panama
352241000,9314612,H3CN,17,120.75,0,1,4522,0,1,4909,FFA,Panama
352247000,8904070,3EPS8,18,115,0,1,5286,0,1,6451,FFA,Panama
352349000,9073385,3FNR3,20.8,125.01,0.007071068,2,7307,0,1,8024,CLAV,Panama
352351000,9072824,3EJD5,,125,,,4808,,,,WCPFC,Panama
352475000,8908234,HOAJ,17,120.73,0,1,4392,0,1,5154,FFA,Panama
352515000,8324244,HOAL,18,138,0,1,6117,0,1,6413,CLAV,Panama
352533000,8122385,3EGN7,16.03,91.03,,1,3574,,1,4183,CLAV,Panama
352545000,7710276,3FUH5,14,96.7,0.353553391,2,2689,0,1,3439,CLAV,Panama
352610000,9063653,3FJE9,22,137.8,0,1,9438,0,1,9357,ITU,Panama
352656000,9172442,YJUK3,16,97,0,1,3683,0,1,3621,CLAV,Panama
352715000,9642174,H8KJ,,128.02,,,4980,,,,WCPFC,Panama
352784000,9078282,3FVX3,21,125.03,0,1,7307,0,1,8032,CLAV,Panama
352785000,9128049,3FSY6,23,151.99,0,1,10519,0,1,10332,ITU,Panama
352796000,8810645,3EYB6,15.6,94.97,,1,3475,,1,4218,CLAV,Panama
352844000,8512920,3EFC4,16,85.75,0,1,3264,0,1,3970,FFA,Panama
352894000,9278612,HPFK,16.6,113,0,1,4499,0,1,4940,CLAV,Panama
353019000,8502432,UBPC,16.24,102.81,0.007071068,2,4109,0,1,4888,CLAV,Panama
353185000,9145920,3FTS6,16,114.82,0,1,4166.2,14.78850905,2,4511,CLAV,Panama
353211424,7920728,3EDM9,11,69,0,1,1153,0,1,1105,encounters,Panama
353242000,8517815,3FHP2,18,120.5,5.656854249,2,5757,0,1,6373,CLAV,Panama
353306000,9184536,3FWG8,21,127.38,0,1,7367,0,1,8097,CLAV,Panama
353828000,8319598,3EHM8,14.51,86.34,0,1,2340,0,1,2311,CLAV,Panama
353901000,9097056,H90Q,,88.6,0,1,2383,0,1,2562,encounters,Panama
353937000,8204121,3FMK4,16,92.21,0,1,3260,0,1,3917,FFA,Panama
353981000,9081679,3FVQ8,21.6,143.3,0,1,9997,0,1,11070,CLAV,Panama
354036000,7812098,3FUT6,16,94.5,0,1,3649,0,1,4395,CLAV,Panama
354062000,880236,3EIN8,18,124.7,0,1,4970,0,1,6522,CLAV,Panama
354240000,9017276,3FFY5,22.6,150.3,0,1,10629,0,1,10582,CLAV,Panama
354461000,8203816,3FVB3,17,108,0,1,4677,0,1,5539,encounters,Panama
354464000,9575369,3FNR5,16,96,0,1,2962,0,1,5500,CLAV,Panama
354469000,8710209,3EHB6,17.84,124.7,,1,4939,,1,6550,CLAV,Panama
354493000,9105358,3FSC4,17,120.75,,1,4457,,1,5249,CLAV,Panama
354569000,8422709,3FKW4,22,153,,1,12383,,1,11871,CLAV,Panama
354617000,8011029,H8TO,14,83.85,,1,2453,,1,3077,CLAV,Panama
354655000,9011301,3ERM8,11,66.14,4.162695441,2,1176,0,1,954,CLAV,Panama
354670000,8221947,HOFG,14,79.77,0,1,2047,0,1,2085,CLAV,Panama
354683000,9109287,,14.5,88.94,,1,2581,,1,2401,CLAV,Panama
354716000,8710132,3EHA6,18,124.7,0,1,4936,0,1,6538,CLAV,Panama
354831000,8402589,3FSB,11,105.2,,1,3506,,1,2086,CLAV,Panama
354871000,8801814,3FYF8,21,133.59,0,1,8487,0,1,9727,CLAV,Panama
354874000,8615784,3FXQ4,15,85.83,,1,2856,,1,3143,CLAV,Panama
355116000,9021277,3FDT5,,94,,,2692,,,3536,WCPFC,Korea
355141000,8323599,3FEJ5,16,93.88,0,1,2829,0,1,3984,FFA,Panama
355199000,9142289,3FYM4,17,100.72,0,1,3767,0,1,4241,CLAV,Panama
355295000,9174701,H3LU,17,117.06,5.218448045,2,4490,0,1,5061,CLAV,Panama
355317000,8301723,3FHF5,13,79.83,0,1,2113,0,1,2052,CLAV,Panama
355513000,9016076,3EAX9,18,110.22,0,1,5024,0,1,7000,CLAV,Panama
355643000,8317423,3FUJ9,17.8,125.67,,1,5321,,1,6376,CLAV,Panama
355665576,8011029,H8TO,14,90,0,1,2453,0,1,3077,CLAV,Panama
355720000,8813582,3EMW4,19,145,0,1,6545,0,1,7168,CLAV,Panama
355802000,9015838,3EFN9,17,120.7,0,1,4446,0,1,5248,FFA,Panama
355813000,8021892,,16,93.97,6.455884912,2,3065,0,2,3247,CLAV,Panama
355855000,7625500,3FRF5,14,96.7,0.353553391,2,2695,0,1,3459,CLAV,Panama
355874000,8221595,3FPM2,16,91.41,0,1,3520,0,1,4192,FFA,Panama
355894000,7721067,3FRZ5,13,94.71,3.013768405,2,2689,0,1,3439,CLAV,Panama
355966000,9126261,3FTG5,17,120.75,0,1,4458,0,1,5537,CLAV,Panama
356065000,9109263,H3OD,15,86.71,2.639335459,3,2592.25,7.5,2,2392,CLAV,Panama
356386000,9000376,H0ZZ,17,120.7,,1,4444,,1,5591,CLAV,Panama
356407000,9604172,H3CN,,120.75,,,4522,,,,WCPFC,Panama
356514000,9035084,3FHE6,21,138,0,1,7800,0,1,8023,FFA,Panama
356517000,9172698,3FLM8,20,125.5,6.392245302,2,6971,0,1,8035,CLAV,Panama
356567000,9010785,HPXZ,22,144.34,0,1,12413,0,1,13283,FFA,Panama
356591000,7810571,3FWH6,16,122.46,0,1,4177,0,1,4360,FFA,Panama
356609000,8908193,3EBI9,21,147,0,1,9070,0,1,11595,CLAV,Panama
356616000,8904941,3EQZ7,19,146.02,0,1,6557,0,1,7129,CLAV,Panama
356636000,8911619,3FMM7,17,120.7,,1,4457,,1,5281,CLAV,Panama
356655000,9120205,PCOZ,,117,,,5110,,,,WCPFC,Netherlands
356728000,9035072,3ETB8,19,116.33,0,1,6082,0,1,7197,CLAV,Panama
356878000,8318659,3FOZ2,20,142.4,0,1,7777,0,1,8495,encounters,Panama
356889000,9136890,3FVD,17,100.72,0,1,3767,0,1,4258,FFA,Panama
356962000,9017264,3FNJ,22.6,150.3,0,1,10629,0,1,10587,CLAV,Panama
357020000,8420763,3FQH9,,100.98,,,4361,,,,WCPFC,Panama
357058000,9227601,3FWC9,17,120.75,0,1,4513,0,1,5437,FFA,Panama
357497000,8804244,3FYZ6,18,117.31,,1,4970,,1,6526,CLAV,Panama
357600000,8844074,3FDQ4,17,115.15,,1,5077,,1,5099,CLAV,Panama
357611000,9178654,3FOA9,21,138,0,1,7959,0,1,8076,ITU,Panama
357642000,8303903,HOYR,18,125.67,,1,5323,,1,6381,CLAV,Panama
357670000,9041540,H9PE,18,137.55,0,1,6399,0,1,7368,CLAV,Panama
357735000,9184548,3FSC9,20.6,127.38,0,1,7367,0,1,8077,CLAV,Panama
357788000,8808252,3FTI9,13,81.54,3.256255518,2,1890,0,1,1752,CLAV,Panama
357805000,8521830,3FTR9,22,152.94,0,1,12383,0,1,9360,FFA,Panama
370032000,9128051,3FVE7,23,151.99,0,1,10519,0,1,10342,ITU,Panama
370070000,8913992,3FCY3,18,115,0,1,5131,0,1,6523,FFA,Panama
370095000,9412751,3FJA8,23,143,0,1,9603,0,1,10601,ITU,Panama
