mmsi,inferred,score,known
100000002,purse_seines,0.995387494564,
100000003,purse_seines,0.999851584435,
100000004,purse_seines,0.999982714653,
100000005,purse_seines,0.999883890152,
100000006,purse_seines,0.963518083096,
100000007,purse_seines,0.8155169487,gear
100000008,purse_seines,0.99969804287,
100000009,purse_seines,0.999919176102,
100000010,purse_seines,0.987958014011,
100000011,fixed_gear,0.56082654781,gear
100000012,purse_seines,0.999660611153,
100000015,purse_seines,0.974540650845,
100000016,purse_seines,0.999429762363,
100000017,purse_seines,0.800361037254,
100000018,purse_seines,0.987929105759,
100007979,purse_seines,0.99996304512,
1000282062,drifting_longlines,0.998723447323,
100070000,purse_seines,0.989217400551,
100700050,trawlers,0.608416795731,
100700106,drifting_longlines,0.739652812481,
100700146,fixed_gear,0.866435009909,
100700306,drifting_longlines,0.666758954525,
100700761,purse_seines,0.993864357471,
100701528,drifting_longlines,0.685156285763,
100701567,trawlers,0.668035447598,
100701827,trawlers,0.751765370369,
100701867,trawlers,0.693168103695,
100702048,trawlers,0.792537033558,
100702538,purse_seines,0.797321796417,
100702825,trawlers,0.999206244946,
100703318,trawlers,0.889193713665,
100706158,drifting_longlines,0.654675483704,
100805005,drifting_longlines,0.998554170132,
100860023,drifting_longlines,0.997832119465,
100876542,trawlers,0.962483763695,
100879933,drifting_longlines,0.528405368328,
100881741,purse_seines,0.762138783932,
100882160,trawlers,0.969231009483,
100882851,fixed_gear,0.950598555384,
100885181,drifting_longlines,0.999939441681,
100886175,trawlers,0.893963456154,
100887012,trawlers,0.498287081718,
100887960,drifting_longlines,0.380216538906,
100888440,trawlers,0.684990108013,
100888459,drifting_longlines,0.918895304203,
100888488,purse_seines,0.707668542862,
100888496,trawlers,0.892752408981,
100888590,trawlers,0.999895453453,
100888592,trawlers,0.999999880791,
100888679,drifting_longlines,0.768774032593,
100888912,trawlers,0.990677118301,
100889657,trawlers,0.967361330986,
100889829,trawlers,0.647746443748,
100890328,drifting_longlines,0.999532938004,
100894783,purse_seines,0.498878449202,
100894982,fixed_gear,0.724120290388,
100895176,drifting_longlines,0.68462562561,
100895213,purse_seines,0.970484972,
100895352,drifting_longlines,0.752661347389,
100895571,drifting_longlines,0.978982686996,
100895572,drifting_longlines,0.997707486153,
100900112,trawlers,0.678204119205,
100900118,trawlers,0.962481975555,
100900242,trawlers,0.990542113781,
100901201,drifting_longlines,0.470506608486,
100902031,trawlers,0.894301116467,
100906192,drifting_longlines,0.558486700058,
100908198,fixed_gear,0.960408233112,
100912004,purse_seines,0.950597882271,
101001010,drifting_longlines,0.380662500858,
101306368,trawlers,0.954028666019,
101306904,trawlers,0.596658110619,
101406838,drifting_longlines,0.999842762947,
101408386,trawlers,0.919349908829,
101408390,purse_seines,0.745296776295,
103298888,drifting_longlines,0.989813029766,
10455804,trawlers,0.9183344841,
10842,drifting_longlines,0.954537153244,
108667542,drifting_longlines,0.978939175606,
108668465,trawlers,0.790440618992,
108669186,purse_seines,0.737305283546,
110000000,purse_seines,0.998562633991,
11025047,purse_seines,0.978121221066,
110700852,fixed_gear,0.295229256246,
110700977,trawlers,0.985126793385,
110702132,drifting_longlines,0.986529588699,
110702827,fixed_gear,0.757771839541,
110703107,fixed_gear,0.471022285637,
110705761,trawlers,0.999477922916,
110706289,drifting_longlines,0.891923248768,
110706891,trawlers,0.616105377674,
110766666,trawlers,0.859913825989,
110802154,fixed_gear,0.768070372072,
111001974,trawlers,0.72112095356,
111111000,purse_seines,0.521490752697,
111111110,fixed_gear,0.605118773192,
111111114,purse_seines,0.757962703705,gear
111112222,fixed_gear,0.545968116035,
111150045,purse_seines,0.999990582466,
111202911,drifting_longlines,0.940635085106,
111203746,drifting_longlines,0.650100409985,
11220,drifting_longlines,0.915185034275,
11346,purse_seines,0.977560520172,
11532240,trawlers,0.944480776787,
11603,trawlers,0.458512753248,
1172,purse_seines,0.999986052513,
1193046,purse_seines,0.556448400021,
120085085,purse_seines,0.998773157597,
120700522,trawlers,0.418435811996,
122345458,squid_jigger,0.526542007923,
122408213,purse_seines,0.999979019165,purse_seines
123402187,trawlers,0.954100191593,
123450020,purse_seines,0.999347388744,
123450100,purse_seines,0.999832987785,
123450800,purse_seines,0.998256504536,
123451234,purse_seines,0.660271406174,
12345678,trawlers,0.336638152599,
12347,purse_seines,0.999785482883,
12348,purse_seines,0.973122596741,
123589,fixed_gear,0.565310226171,
123842988,purse_seines,0.982503831387,
12600,drifting_longlines,0.805721998215,
126877888,purse_seines,0.724332630634,
12900000,purse_seines,0.993109226227,
130282002,purse_seines,0.942656338215,
13060,purse_seines,0.999877691269,
13060579,trawlers,0.570203900337,
130650190,fixed_gear,0.787141471499,
130701733,trawlers,0.341765224934,
133310,drifting_longlines,0.452997863293,
137793338,drifting_longlines,0.999157190323,
140000017,trawlers,0.480322241783,
140401091,drifting_longlines,0.710569322109,
140700052,purse_seines,0.438889473677,
140700629,drifting_longlines,0.933037400246,
14090841,trawlers,0.523303449154,
141000240,drifting_longlines,0.989159882069,
14334,purse_seines,0.99988925457,
145300142,fixed_gear,0.949981468068,
146003620,drifting_longlines,0.999878764153,
150000092,purse_seines,0.516672134399,
150024360,drifting_longlines,0.99981957674,
150200162,squid_jigger,0.938002288342,
150200977,trawlers,0.957042515278,
150202320,drifting_longlines,0.972221374512,
150202800,trawlers,0.791771113873,
150203018,squid_jigger,0.524197638035,
150203887,trawlers,0.516665279865,
150204090,trawlers,0.539314687252,
150204460,drifting_longlines,0.346807926893,
150413181,trawlers,0.626615643501,
150701079,drifting_longlines,0.773847520351,
150701936,trawlers,0.650139153004,
151000082,trawlers,0.740020275116,
1547,purse_seines,0.816834747791,
16045,trawlers,0.406047075987,
161000886,fixed_gear,0.994245147244,
16560,purse_seines,0.99940264225,
188888888,fixed_gear,0.600268686377,
190701302,trawlers,0.742757081985,
190751888,trawlers,0.987007141113,
191283710,other_fishing,0.99825460971,
1957,trawlers,0.933993220329,
200000000,purse_seines,0.413013786077,
200000011,other_fishing,0.614840077542,
200000190,drifting_longlines,0.894039511681,
200000243,drifting_longlines,0.998750925064,
200000387,drifting_longlines,0.724396348,
200000501,drifting_longlines,0.873538792133,
200000502,drifting_longlines,0.976640105247,
200000503,trawlers,0.997520744801,
200000531,drifting_longlines,0.578924179077,
200000666,drifting_longlines,0.528435111046,
200000816,drifting_longlines,0.769440591335,
200001069,purse_seines,0.647812068462,
200001089,trawlers,0.859845340252,
200001597,trawlers,0.506415426731,
200001686,drifting_longlines,0.998795390129,
200001903,drifting_longlines,0.99664992094,
200002102,purse_seines,0.920432269573,
200002532,trawlers,0.981973052025,
200002548,purse_seines,0.676001906395,
200002626,drifting_longlines,0.999976873398,
200003012,drifting_longlines,0.865592479706,
200003085,purse_seines,0.684413909912,
200003289,trawlers,0.701826572418,
200003311,fixed_gear,0.315688530155,
200003510,purse_seines,0.83291643858,
200003613,trawlers,0.595743179321,
200003650,drifting_longlines,0.923648715019,
200003661,drifting_longlines,0.988065600395,
200003772,trawlers,0.704088747501,
200003926,trawlers,0.847246170044,
200003982,drifting_longlines,0.582566678524,
200004454,trawlers,0.99415564537,
200004572,trawlers,0.496347367764,
200004607,drifting_longlines,0.913209199905,
200004615,drifting_longlines,0.537447750568,
200004654,fixed_gear,0.967011735504,
200004668,trawlers,0.988914430141,
200004725,purse_seines,0.417969226837,
200005060,purse_seines,0.513693809509,
200005219,drifting_longlines,0.995832383633,
200005368,drifting_longlines,0.524377584457,
200005457,fixed_gear,0.561752322415,
200005459,trawlers,0.628026425838,
200005495,fixed_gear,0.780480990805,
200005502,drifting_longlines,0.999999761581,
200005503,drifting_longlines,0.999844551086,
200005511,drifting_longlines,0.999991893768,
200005535,fixed_gear,0.658059883178,
200005573,drifting_longlines,0.86097574234,
200005653,drifting_longlines,0.690532505512,
200005734,drifting_longlines,0.982055962086,
200005855,drifting_longlines,0.939605474472,
200005864,drifting_longlines,0.776381909847,
200005881,drifting_longlines,0.489273160696,
200005944,fixed_gear,0.997486875665,
200005980,drifting_longlines,0.910106360912,
200006001,trawlers,0.770566999912,
200006100,purse_seines,0.782186985016,
200006101,trawlers,0.939069986343,
200006102,purse_seines,0.633456468582,
200006520,fixed_gear,0.584707874213,
200006929,drifting_longlines,0.99482601881,
200007041,drifting_longlines,0.541890919209,
200007173,purse_seines,0.454281121492,
200007443,drifting_longlines,0.951299011707,
200007563,trawlers,0.67083221674,
200007603,trawlers,0.964774250984,
200007716,trawlers,0.512467801571,
200007770,drifting_longlines,0.545562684536,
200007797,drifting_longlines,0.717968225479,
2000080,trawlers,0.944186627865,
200008312,drifting_longlines,0.685966730118,
200008320,drifting_longlines,0.576231062412,
200008375,fixed_gear,0.640498908485,
200008395,drifting_longlines,0.98906224966,
200008449,trawlers,0.998082995415,
200008464,trawlers,0.787532269955,
200008564,fixed_gear,0.543855364065,
200008650,drifting_longlines,1.0,drifting_longlines
200008670,drifting_longlines,0.736347973347,
200008740,trawlers,0.959796726704,
200008765,trawlers,0.917935311794,
200008977,drifting_longlines,0.981539905071,
200008985,fixed_gear,0.334941908861,
200009440,drifting_longlines,0.445043981075,
200009445,fixed_gear,0.72049576648,
200009587,trawlers,0.783651232719,
200009674,trawlers,0.715314030647,
200009830,trawlers,0.817663669586,
200009910,drifting_longlines,0.989608705044,
200010197,drifting_longlines,0.855038821697,
200010323,purse_seines,0.626630187035,
200010806,drifting_longlines,0.735983669758,
200011094,drifting_longlines,0.833863854408,
200011112,fixed_gear,0.746212662253,
200011262,trawlers,0.778794527054,
200011329,drifting_longlines,0.498389333487,
200011402,purse_seines,0.958889722824,
200011468,drifting_longlines,0.702861428261,
200011487,drifting_longlines,0.814609050751,
200011496,purse_seines,0.449437022209,
200011791,purse_seines,0.544098317623,
200011800,trawlers,0.958276331425,
200011833,drifting_longlines,0.555416584015,
200011839,trawlers,0.999565303326,
200011861,drifting_longlines,0.93666857481,
200011874,trawlers,0.411918640137,
200011883,purse_seines,0.998833239079,
200011979,trawlers,0.739698827267,
200012060,fixed_gear,0.492526615031,
200012070,drifting_longlines,0.990201532841,
200012092,drifting_longlines,0.683938026428,
200012097,drifting_longlines,0.800070047379,
200012107,drifting_longlines,0.878924548626,
200012144,drifting_longlines,0.868052899837,
200012145,fixed_gear,0.609373608224,
200012146,fixed_gear,0.835487541175,
200012153,purse_seines,0.922443628311,
200012283,drifting_longlines,0.973957717419,
200012348,drifting_longlines,0.79528182745,
200012357,trawlers,0.780284225941,
200012365,drifting_longlines,0.917855978012,
200012400,drifting_longlines,0.548766851425,
200012445,trawlers,0.975509941578,
200012447,fixed_gear,0.533374131618,
200012480,drifting_longlines,0.996196627617,
200012608,drifting_longlines,0.999998092651,
200012643,drifting_longlines,0.99925750494,
200012689,purse_seines,0.807755947113,
200012710,trawlers,0.683622181416,
200012746,drifting_longlines,0.941129386425,
200012894,purse_seines,0.64222663641,
200013155,trawlers,0.595133244991,
200013173,trawlers,0.584445178509,
200013232,drifting_longlines,0.98286575079,
200013308,purse_seines,0.752188801765,
200013375,trawlers,0.846224725246,
200013850,drifting_longlines,0.999707520008,
200013947,drifting_longlines,0.971546769142,
200014065,other_fishing,0.669691359829,
200014238,trawlers,0.884059309959,
200014291,trawlers,0.332327246666,
200014514,squid_jigger,0.999965190887,
200014661,fixed_gear,0.934996563497,
200014677,drifting_longlines,0.949574351311,
200014690,drifting_longlines,0.999997496605,
200014701,trawlers,0.744536399841,
200014703,drifting_longlines,0.980834186077,
200015628,drifting_longlines,0.994364023209,
200015642,trawlers,0.985658705235,
200015672,drifting_longlines,0.980380833149,
