mmsi,inferred,known
353894412,Cargo,Cargo
353894412,Cargo,Cargo
353894412,Tanker,Cargo
355467265,Tanker,Tanker
355467265,Tanker,Tanker
355467265,Tanker,Tanker
355467265,Tanker,Tanker
355467265,Tanker,Tanker
355467265,Tanker,Tanker
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
247070740,Trawlers,Trawlers
367678810,Sailing,Trawlers
367678810,Trawlers,Trawlers
636092423,Reefer,Reefer
636092423,Reefer,Reefer
636092423,Reefer,Reefer
636092423,Reefer,Reefer
636092423,Reefer,Reefer
636092423,Reefer,Reefer
636092423,Reefer,Reefer
636092423,Reefer,Reefer
374014000,Purse seines,Reefer
374014000,Purse seines,Reefer
374014000,Reefer,Reefer
374014000,Reefer,Reefer
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
204243000,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070780,Trawlers,Trawlers
247070790,Trawlers,Trawlers
247070790,Trawlers,Trawlers
247070790,Set longlines,Trawlers
247070790,Set longlines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
247070790,Purse seines,Trawlers
240550000,Trawlers,Trawlers
240550000,Trawlers,Trawlers
240550000,Trawlers,Trawlers
240550000,Trawlers,Trawlers
235077745,Sailing,Sailing
235077745,Sailing,Sailing
235077745,Sailing,Sailing
235077745,Sailing,Sailing
235077745,Sailing,Sailing
235077745,Sailing,Sailing
512000030,Purse seines,Trawlers
512000030,Trawlers,Trawlers
512000030,Trawlers,Trawlers
512000030,Seismic vessel,Trawlers
512000030,Seismic vessel,Trawlers
512000030,Seismic vessel,Trawlers
512000030,Reefer,Trawlers
512000030,Reefer,Trawlers
512000030,Cargo,Trawlers
512000030,Pole and line,Trawlers
512000030,Reefer,Trawlers
512000030,Pole and line,Trawlers
512000030,Seismic vessel,Trawlers
512000030,Drifting longlines,Trawlers
512000072,Trawlers,Trawlers
512000072,Trawlers,Trawlers
512000072,Purse seines,Trawlers
512000072,Sailing,Trawlers
512000072,Purse seines,Trawlers
512000072,Trawlers,Trawlers
512000072,Trawlers,Trawlers
512000072,Trawlers,Trawlers
512000072,Trawlers,Trawlers
512000072,Sailing,Trawlers
512000072,Trawlers,Trawlers
512000072,Drifting longlines,Trawlers
512000072,Drifting longlines,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Reefer,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Reefer,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
211238930,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Tanker,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
273350810,Trawlers,Trawlers
205258890,Pilot,Cargo
205258890,Pilot,Cargo
205258890,Cargo,Cargo
205258890,Cargo,Cargo
205258890,Cargo,Cargo
205258890,Cargo,Cargo
