mmsi,inferred,known
711333,Pilot,
711575,Sailing,
739557,Cargo,
753767,Tanker,
773000,Purse seines,
786434,Cargo,
801166,Trawlers,
836404,Trawlers,
876225,Cargo,
888888,Reefer,
905000,Sailing,
1000000,Pilot,
1037692,Trawlers,
1048576,Reefer,
1092094,Purse seines,
1111111,Cargo,
1113563,Tug,
1193046,Set gillnets,
1193047,Sailing,
1239468,Pilot,
1243100,Sailing,
1299416,Cargo,
1326630,Cargo,
1506502,Cargo,
1596980,Cargo,
1608265,Trawlers,
1638400,Sailing,
1656386,Trawlers,
1768179,Cargo,
1822875,Tanker,
1879467,Set longlines,
1966109,Tug,
1998195,Sailing,
2010236,Pilot,
2012586,Sailing,
2031618,Cargo,
2052573,Cargo,
2070910,Set gillnets,
2124270,Tanker,
2180301,Pole and line,
2187119,Tanker,
2190062,Purse seines,
2253026,Tanker,
2315757,Cargo,
2320209,Pots and traps,
2320354,Cargo,
2320705,Trawlers,
2324418,Reefer,
2338848,Cargo,
2350169,Sailing,
2356489,Reefer,
2424113,Sailing,
2447004,Cargo,
2460233,Trawlers,
2512001,Trawlers,
2512003,Trawlers,
2522938,Tug,
2545060,Pots and traps,
2576009,Seismic vessel,
2645612,Cargo,
2697306,Cargo,
2698616,Sailing,
2701296,Sailing,
2731184,Pole and line,
2779266,Trawlers,
2817557,Sailing,
3003495,Cargo,
3013899,Cargo,
3080194,Tanker,
3110486,Tanker,
3160162,Tanker,
3225137,Cargo,
3290160,Trawlers,
3296010,Trawlers,
3331388,Trawlers,
3361806,Cargo,
3452284,Tanker,
3551557,Tanker,
3594021,Tanker,
3660501,Tanker,
3660503,Cargo,
3660524,Cargo,
3662121,Pole and line,
3674803,Trawlers,
3694437,Cargo,
3759834,Tug,
3865308,Set gillnets,
4018950,Sailing,
4020980,Cargo,
4022611,Cargo,
4128770,Sailing,
4133456,Set gillnets,
4137899,Cargo,
4160002,Reefer,
4163400,Purse seines,
4196982,Tanker,
4260000,Trawlers,
4413240,Trawlers,
4455035,Cargo,
4550191,Cargo,
4550901,Purse seines,
4550902,Pilot,
4550906,Cargo,
4737566,Cargo,
4740545,Cargo,
4804740,Sailing,
4863604,Cargo,
5036820,Tug,
5039901,Trawlers,
5120004,Trawlers,
5194056,Trawlers,
5251537,Purse seines,
5300142,Tug,
5304430,Cargo,
5458462,Cargo,
5472590,Cargo,
5484990,Cargo,
5550055,Drifting longlines,
5660550,Cargo,
5741635,Pilot,
5741911,Pilot,
6003737,Pots and traps,
6010060,Trawlers,
6028097,Cargo,
