mmsi,Label,Match?,Is this a purse seiner?,Who?,Notes,Link,shipname,imo,callsign,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,Score (callsign + flagmatch),clav_DateUpdated,rfmo_name,match_start,clav_DateUpdated,match_score,shiptype,shiptype_fishing,clav_TUVI
228213900,Purse seiners,?,yes,WB,"IMO: 9334260, name: Iles Sanguinaires II, type: General Cargo, but pictures look like Purse Seiner",https://www.google.com/search?q=228213900+mmsi,ROGER CHRISTIAN IV,,FMEH,0,1,0,0,0,1,,1,00:00.0,ICCAT,46:15.0,1/22/13,14158,Purse seiners,1,8225
224022590,Purse seiners,?,yes,WB,two vessels (Apostol and English) result on MarineTraffic with same pictures ,https://www.google.com/search?q=224022590+mmsi,APOSTOL,,EA5577,0,0,1,1,0,1,1,1,10:04.0,ICCAT,04:22.0,4/13/15,956.4,Purse seiners,1,20964
987357559,Purse seiners,?,yes,WB,"duplicate, look below",https://www.google.com/search?q=987357559+mmsi,Drennec,8111453,HC4042,1,0,0,0,0,1,1,0,00:00.0,IATTC,00:59.0,1/6/15,685,Purse seiners,1,4802
987357559,Purse seiners,?,yes,WB,"name: HC (MarineTraffic), Drennec confirmed @ http://www.wcpfc.int/node/17366, no method aside from name to match",https://www.google.com/search?q=987357559+mmsi,DRENNEC,,HC 4042,1,0,0,0,0,1,1,0,06:30.0,WCPFC,00:59.0,5/31/14,685,Purse seiners,1,4802
224015550,Purse seiners,no,yes,WB,"2 vessels with the same callsign and flag (Rosita C is a purse seiner though), http://www.marinetraffic.com/en/ais/details/ships/shipid:162862/mmsi:224015550/imo:8959350/vessel:SIEMPRE_SOCIO & http://www.marinetraffic.com/en/ais/details/ships/shipid:167386/mmsi:224523000/imo:9210969/vessel:ROSITA_C ",https://www.google.com/search?q=224015550+mmsi,ROSITA C,9210969,EAHJ,0,1,0,1,0,0,0.999968577,2,00:00.0,IATTC,34:46.0,2/21/11,8557.75,Purse seiners,1,1485
224015550,Purse seiners,no,yes,WB,duplicate,https://www.google.com/search?q=224015550+mmsi,ROSITA C,,EAHJ,0,1,0,1,0,1,0.999968577,2,09:45.0,WCPFC,34:46.0,7/13/15,68462,Tuna purse seiners,1,1485
224015550,Purse seiners,no,yes,WB,triplicate ,https://www.google.com/search?q=224015550+mmsi,ROSITA C,,EAHJ,0,1,0,1,0,1,0.999968577,2,46:08.0,IOTC,34:46.0,3/6/15,68462,Tuna purse seiners,1,1485
432564000,Purse seiners,no,yes,WB,"MMSI: 510061000, the callsign in the pictures: 7JBN",https://www.google.com/search?q=432564000+mmsi,NIPPON FSM,9400265,V6PNF,1,0,0,0,0,0,1,0,41:32.0,WCPFC,26:03.0,10/7/15,2880.75,Purse seiners,1,819
332001000,Purse seiners,no,yes,VL,"call sign for this and other ""Thai"" vessels does not match propably due to name change ",https://www.google.com/search?q=332001000+mmsi,THAI UNION 1,8919427,HSB3716,1,0,0,0,0,1,0.982548916,0,44:09.0,IOTC,03:24.0,1/9/15,3803,Tuna purse seiners,1,9240
312897000,Purse seiners,no,yes,VL,,https://www.google.com/search?q=312897000+mmsi,THAI UNION STAR,9223227,HSB3719,1,0,0,0,0,1,1,0,43:05.0,IOTC,40:06.0,1/9/15,5375,Tuna purse seiners,1,9239
