mmsi,count
0,778431
1,236816
2,33229
3,14925
4,80157
5,85811
6,6426
8,3305
9,76173
10,2291
11,119166
13,5948
15,3398
16,3150
19,2628
20,2254
22,6502
23,2955
25,24560
32,10004
33,29638
35,32571
36,9589
37,5836
38,8114
39,5564
41,5782
44,17608
45,5030
48,6966
53,3947
54,5096
55,7174
56,47566
57,12571
60,16351
69,6909
70,9571
72,5506
73,6184
76,5284
77,9510
78,4618
82,7282
83,59895
84,3552
85,5788
87,3114
90,3890
91,7498
92,2212
94,9901
97,6382
98,10673
99,17147
104,5917
105,3342
108,6637
112,10489
114,46471
123,99030
127,3763
135,13472
148,10340
153,5195
157,43654
160,11987
166,2193
168,51772
200,24306
201,26647
205,57889
225,9033
229,4210
238,9224
245,24141
246,10669
249,10067
252,8811
265,7239
268,76255
321,4454
345,24340
356,2238
371,2254
372,39343
378,56740
401,3598
403,8588
404,17985
412,3147
419,2062
449,11972
456,4316
470,4872
489,4691
514,6379
530,2440
531,11045
548,2741
585,2637
660,19125
664,4112
680,4286
701,4881
721,2438
789,2324
888,2852
977,2417
1000,2070
1022,8889
1024,2973
1030,34826
1040,7965
1070,14249
1084,8895
1110,26888
1111,30199
1147,2717
1172,60297
1234,7071
1253,20486
1266,35208
1425,36122
1458,16552
1523,8069
1547,6259
1712,53093
1720,31432
1811,5479
1942,59460
1957,59108
2060,55198
2078,4190
2081,22003
2083,7059
2153,11832
2186,3738
2331,15742
2349,12980
2409,15612
2410,51957
2411,33289
2419,11400
2472,42260
2508,5719
2555,4363
2829,68069
2866,24997
2902,60461
2940,25736
3075,5636
3080,13646
3099,49967
3203,39511
3323,15146
3338,23327
3340,69958
3467,7240
3493,50892
3494,4985
3496,49272
3586,3282
3604,21281
3627,9302
3638,27039
3813,6196
3887,68046
4024,8671
4043,4593
4124,12800
4268,16861
4270,49489
4330,83867
4372,6700
4413,11679
4438,12379
4525,6738
4747,62923
4749,18142
4910,34289
4922,12529
5033,17638
5034,16147
5090,2547
5110,4247
5225,3887
5248,6717
5258,7500
5262,2431
5381,32481
5625,18908
5833,13612
5853,51146
6149,42277
6185,5199
6239,18166
6275,13135
6387,83793
6508,2901
6579,16866
6630,9565
6667,15266
6827,2513
6932,18475
7037,10969
7088,17488
8029,2461
8396,4246
8888,5224
9079,3320
9673,9627
9999,16384
10000,3509
10201,8346
10223,12977
11121,5711
11158,46039
11159,2765
11311,6984
11346,3900
11381,10950
11603,55957
11723,7173
11760,24894
12048,18142
12063,22035
12069,24214
12270,3477
12345,8846
12347,10215
13060,6298
13104,3004
13168,3477
13236,3668
13341,6103
13521,5012
13991,10890
14124,2963
14334,2594
14928,10720
15248,2804
15343,11176
15416,2188
16045,51328
16050,33153
16053,28583
16181,4379
16261,9249
16560,29020
16589,5697
17718,27852
18291,4921
18808,6727
18817,16072
19036,10226
19567,2879
19696,5819
19713,2476
19718,4084
20467,53368
20788,32849
20929,2476
21001,6011
21441,33783
21720,5962
22068,29981
22595,2164
23456,10068
31151,14352
31443,13544
32768,8803
36407,2576
36422,2077
36483,2509
38629,2529
38826,2258
39036,15731
41015,2660
45820,5934
47000,3623
49960,5197
54336,2765
54445,9878
54765,12187
55989,4686
55997,5680
56790,15183
62000,4995
63352,2865
66566,4388
67976,8584
69645,12141
69663,27047
72411,11199
80247,8789
81363,2116
81740,10057
81874,3917
82010,2319
88888,7145
89900,6540
90696,31694
90909,15074
91601,14895
91602,12885
93509,11616
94999,38204
98048,2494
101843,48339
104938,11192
110722,6096
111111,6840
111189,23040
111222,10271
117096,23144
120200,5974
123123,5265
123456,66014
123458,2589
123459,3227
123466,3449
123468,2059
123471,2794
123472,2321
123474,3178
123477,3189
123481,2614
123486,2142
123490,7225
123491,2174
123494,2929
123499,8739
123509,2648
123513,30869
123514,12757
123518,15124
123521,4808
123524,3075
123540,2405
123551,3440
123554,6063
123562,3890
123593,7027
123600,2252
123621,5205
133310,26977
134508,3174
143481,7614
149414,4525
150048,11349
175874,50228
183501,7713
195566,2149
196608,2304
196672,2215
201851,30918
210000,6752
230001,30760
249762,40604
254714,44239
268168,2836
270995,8527
301157,6105
305107,2692
330690,2978
342728,32638
345678,6741
378330,16068
392189,2559
392341,32840
410000,2237
410690,4919
412001,3687
416000,2955
424106,2450
456789,3639
500430,8423
502391,2661
512099,3842
513612,2035
520000,105395
520167,27225
525000,4758
527918,31762
529486,3032
559087,12641
568032,2309
578995,8321
598734,22177
613914,45289
641114,7261
649258,3291
713972,58292
737255,8094
753767,6227
759376,3239
773000,20908
852140,8117
855368,2129
888888,26955
897996,4056
900128,15266
905000,49490
923166,4779
927852,6096
976000,13967
976800,29746
981261,3168
1010101,3581
1048576,2891
1056261,41061
1062210,2090
1160042,4400
1193046,266659
1193047,79410
1209056,3063
1226784,27866
1234567,24354
1239468,42233
1257998,37644
1314593,14282
1506586,11272
1572866,14002
1605312,16120
1774838,6923
1791140,19841
1820014,4519
1822875,19332
1879467,18072
1966109,2576
2000000,5880
2000080,2937
2004313,2666
2031618,4186
2070910,57929
2101948,4225
2111333,28967
2132200,13983
2169420,21041
2190045,79888
2190062,21321
2212724,20405
2241047,24912
2241048,27530
2241153,19353
2241154,14534
2241156,14010
2242112,15607
2242132,51932
2249955,43482
2278000,83247
2301010,30296
2302777,2664
2309477,8976
2310756,16280
2312000,40115
2313000,70698
2314000,77629
2320206,21250
2320208,4513
2320209,10350
2320210,30209
2320211,7072
2320816,41826
2320819,29311
2320820,32939
2320821,29740
2323112,5048
2326791,29616
2338848,11002
2339001,20963
2339002,12560
2383510,16510
2391700,4407
2391900,20201
2392100,5668
2400236,11465
2422352,2391
2424100,37835
2424102,33174
2424103,37039
2424104,8177
2424105,34652
2424106,11003
2424108,9708
2424110,4982
2424111,16475
2424114,2707
2424115,2816
2424116,8357
2424117,2524
2424118,2003
2424122,5680
2424123,11179
2424125,2300
2424126,2649
2424130,3291
2424131,15601
2424139,11360
2424140,31760
2424141,14284
2424143,3109
2424145,4162
2424146,6327
2424834,25378
2444044,6051
2447004,76081
2470011,33661
2470012,29288
2470013,30608
2470014,31258
2470016,29306
2470017,31684
2470018,7482
2470019,25516
2470020,32758
2470022,34575
2470023,9929
2470024,18338
2470025,11970
2470026,27143
2470027,29069
2470028,22999
2470029,29979
2470030,26599
2470032,18004
2470033,24596
2470034,14839
2470035,30963
2470036,34929
2470037,32339
2470038,13389
2470039,24478
2470040,5494
2470041,29086
2470042,9429
2470043,31176
2470045,32314
2470046,19227
2470047,15186
2470048,31258
2470049,24673
2470050,20503
2470051,4166
2470052,26592
2470053,25576
2470054,24892
2470055,29135
2470056,26288
2470057,15227
2470058,28097
2470059,31955
2470060,12835
2470061,22461
2470062,31894
2470065,30101
2470066,30576
2470067,26170
2470068,17368
2470069,31991
2470071,2752
2470074,32687
2470075,29024
2470079,19562
2470080,9064
2470081,30295
2470082,22702
2470087,25521
2470102,31103
2470103,5178
2470118,34190
2489950,27672
2512001,26005
2512002,17639
2512003,44064
2545060,20969
2576009,20512
2576100,10441
2686314,2496
2701296,7948
2717245,17123
2717247,4951
2717248,4003
2718451,4405
2731778,11710
2817557,31973
3001448,2074
3110486,40833
3160000,5088
3160089,39285
3160184,43471
3211266,8177
3305876,2903
3331388,7777
3660088,5589
3660478,2979
3660489,4584
3660501,6412
3660514,24570
3660524,2496
3669731,60607
3670011,15819
3689001,30846
3759834,10001
3812966,10598
3854678,2333
3942023,17253
3997698,3366
4001269,2153
4010980,35769
4018950,5464
4021698,31441
4122100,6282
4192203,55052
4196982,19310
4280052,83159
4282000,3536
4381234,47191
4403316,2589
4444444,45681
4550191,48196
4550901,13414
4550902,12871
4550906,12900
4550907,3696
4610005,9363
4700005,4962
5030245,105495
5120004,90007
5242882,3983
5251204,6466
5251537,32011
5251547,3414
5255590,37217
5300142,27248
5321000,12963
5355846,13343
5472590,13591
5484290,20756
5550055,34989
5631101,66603
5631127,57943
6010008,59633
6010060,7119
6101001,4555
6107000,11741
6221120,3981
6257346,6280
6459020,114158
6459021,24444
6459022,83368
6459024,118224
6459025,56150
6459026,21655
6459027,8744
6459028,18383
6477300,34204
6619138,12427
6645040,47846
6904672,4250
7041637,5036
7100013,8341
7100079,28139
7100370,11739
7100640,4151
7250231,103421
7250320,3404
7250370,24023
7250381,144792
7250400,56029
7250440,10584
7261419,17156
7554169,11349
7568952,14434
7611680,10948
7751005,42440
7777777,63456
7864322,15146
7964014,41270
8001244,20319
8072781,16933
8073718,5819
8081970,8535
8203127,74013
8602309,18324
8661252,7153
8663054,5793
8900658,54633
8900660,64082
8921236,12855
9010054,3932
9010120,36182
9010123,4557
9010134,6991
9010166,13751
9011111,24546
9021086,4080
9021338,2480
9021400,3950
9021455,2348
9021458,2264
9021565,3270
9022076,3699
9022114,2389
9022297,2983
9022708,2245
9022852,2108
9022995,2825
9081227,5223
9097276,4464
9101085,7916
9102100,3396
9102109,2114
9102205,3671
9102242,9617
9102487,10086
9102502,2202
9102635,2344
9102659,30214
9102678,2893
9102685,2939
9102690,17023
9102695,3811
9102696,2957
9102697,29706
9102699,6074
9102730,2104
9102751,9437
9102753,11048
9102762,8601
9102778,25447
9102803,25698
9102875,5404
9103057,6240
9103076,13627
9103082,10733
9103088,21975
9103099,2940
9103103,4413
9103106,2170
9103118,2134
9103141,17894
9103146,29049
9103324,45551
9103508,5534
9103636,5790
9103694,2938
9103706,4003
9103755,3222
9103757,13835
9103758,3140
9103925,13848
9103927,15311
9103928,11390
9103937,31351
9103960,3418
9104168,4385
9104237,3933
9104457,14667
9104466,11734
9104468,29217
9104647,2062
9105175,2840
9106029,12887
9106033,3242
9106122,4130
9106202,3193
9106217,2656
9106306,3815
9106990,3249
9107338,3082
9107631,2050
9110796,9547
9111254,9436
9124463,12797
9166601,9825
9216195,7084
9254941,7388
9312523,10191
9330551,2311
9366691,94940
9379000,17780
9570981,14278
9699330,40546
9819287,32689
9999046,2362
9999999,5214
10000000,41984
10101010,6077
10223618,4712
10419462,23068
10485762,12166
10537090,9610
10772765,55002
10878978,23931
10903843,32366
10933543,2882
11000938,2439
11111111,93732
11431150,5943
11468802,7315
11518760,41150
11541270,2358
11553070,21120
11572680,8819
11578680,45137
11796480,3702
11860518,8698
11866246,10913
12050057,2566
12050082,8502
12345671,38723
12345678,112944
12345679,7048
12345888,5703
12430662,3557
12648450,12185
12900000,15158
13000009,4858
13019870,14198
13060544,2380
13060786,2695
13060986,2849
13072017,3842
13072018,3410
13671126,2415
13790138,13103
14090030,2724
14090633,2877
14090841,2029
14271242,5491
16273012,5017
16449538,8059
16484074,31251
16892591,24778
17238237,18475
17301536,7517
17629186,3624
17739082,56979
17850344,5411
17870224,17119
17971867,6582
18976437,2421
19021070,17731
19061400,2012
19831792,21928
20080315,44834
20110123,2784
20110305,5574
20127875,2111
20388824,9038
20537299,25149
20692006,38873
20709378,4556
20753517,7012
21111111,18794
21142690,18400
21148930,3770
21150200,18188
21150710,20627
21160160,2218
21162810,3733
21193046,30890
21274902,30363
21526690,59602
21535557,40536
21555388,5776
21756906,27563
21918900,7518
21960600,3148
21999456,24635
22021780,19727
22104859,26368
22303714,3201
22534500,5326
22991925,67857
23093936,42829
23268000,11718
23303610,15044
23361900,10045
23458000,3497
23508275,59778
23508719,11947
23513596,12873
23712644,10292
23821646,5150
23986178,8882
24022380,5951
24081180,3442
24142323,9902
24233100,2711
24307021,2397
24412345,6026
24439300,10116
24466053,24777
24466096,23184
24467375,60970
24473087,10463
24480544,29293
24485036,6360
24487043,9911
24593300,42161
24660592,44155
24735500,4916
24791481,15753
25000116,3903
25051190,5758
25147718,3326
25328974,40265
25342000,52858
25562500,8358
