mmsi,count
25654025,29435
25800038,13771
26057480,20377
26574158,3762
27059000,22505
27101500,17142
27101502,10865
27315890,59548
27335295,3123
27335700,9665
27335770,3545
27653800,67631
27722800,3972
27920241,7763
27920562,2890
27983874,28407
29202465,9757
29445129,67348
29470427,8866
29913878,22092
29978623,3487
30479900,3702
30514200,2386
30753134,2292
31115394,4161
31200010,27057
31260674,21233
31305246,2463
31339546,2010
31426500,22924
31579952,3273
31602656,2766
31685693,7000
31904900,8253
33161218,70952
33294408,4928
33333333,10983
33485788,6132
35516535,11326
35581900,11708
35659700,3958
35721500,15961
35872607,7552
36696790,13076
36700993,18932
36702190,7246
36704740,7208
36706320,10562
36742760,8195
36751810,38515
36764000,47061
36764840,3778
36766050,7571
36766590,7748
36770590,6610
37100300,41305
37573000,3467
37579300,8018
37777777,5541
38924000,5241
40004439,11103
40305831,2142
40410001,2585
40410002,2398
40700479,12269
41000000,6387
41005037,2447
41008083,2375
41108045,2627
41109008,4956
41109096,32165
41200005,2136
41202401,7666
41202506,3416
41206099,4789
41207780,8671
41209026,6222
41230361,2260
41232400,14882
41234689,4568
41246006,12347
41269518,4513
41278146,3159
41290000,5990
41300000,4989
41300900,13575
41355970,9860
41358370,4624
41359999,16297
41380667,2420
41381000,28343
41390059,8485
41400990,3018
41627081,12911
41900489,9638
42112221,62996
42200000,2611
42756000,2680
43105519,63722
43550612,3527
43600000,5093
43676060,66832
44013550,8428
44194000,3542
44250603,9571
44520100,2900
44670780,42397
44690451,35073
44690544,3769
44700039,38312
44700147,33738
44700886,38432
44710023,16749
44710131,59065
44710802,25939
44730106,5388
44740782,7004
44750576,19386
44790153,23753
45663000,3736
46362908,4431
47055300,5989
47100460,3004
47653658,8242
47795119,39259
48640955,2728
49000000,6575
49100000,5148
49905034,2520
50041089,2219
50050050,13488
50302100,4980
50302525,2961
50306063,2469
50310600,3942
50368098,6467
50410048,2323
50410091,2253
50419057,2908
50615009,4346
50622004,5151
50622012,5020
50622030,3140
50622037,4959
50622040,5880
50622043,10283
50622044,3256
50622077,2285
50622080,9698
50624029,4139
50624063,4714
50624085,9961
50624092,9672
50819004,2802
50819014,2073
50819025,2494
50819055,6369
50819082,7588
50819093,6207
50819099,5367
51411333,2301
52501572,11193
53265489,3342
55310122,4798
55555555,4020
56006200,6190
56300450,3046
56324790,8641
56477800,71352
56990000,2061
57000000,13094
57173720,42028
60000270,14628
60409569,2806
61025890,29690
61182166,2608
61182315,15600
61186384,16121
61693056,2018
65021700,3250
65042960,4041
65373555,23792
66700281,5404
66968420,7222
70100821,26588
71000001,17446
71005380,4431
73327210,2161
73728132,10646
75000103,3011
75448323,3423
75502471,25823
75641651,60391
76000201,14319
76000203,16156
76000210,13103
76000650,4808
76001160,12548
77056228,10357
77246344,2271
77534500,2065
77992043,5241
80281600,61387
82568256,11182
86543024,2722
86545236,37817
87597919,13357
87645888,8084
88128381,6892
88888888,12034
89652387,4250
89654321,3653
90000000,2015
91999555,4714
92337015,48680
92760064,2275
98000191,2486
98300029,5872
98300181,4925
98300208,6746
98300224,8108
98300248,2375
98300251,5671
98300253,3186
98300361,2017
98300828,2203
98300840,3347
98300845,7031
98300864,4838
98300885,4088
98300891,3887
98300901,6174
98300960,4745
98301017,7471
98301066,2044
98301126,2162
98301289,2631
98301892,2961
98302305,2047
98302356,2223
98302515,2580
98302686,2459
98302862,2687
98302906,2322
98303730,2565
98303856,2426
98304106,2223
98304375,2549
98304691,2380
98304861,2590
98304864,2635
98305101,3497
98305102,3924
98305103,3572
98305104,2627
98305106,2208
98305795,2051
98306540,2343
98306551,2805
98306746,2222
98306750,7232
98306769,7592
98306916,2393
98308159,10498
98310188,5498
98310208,8640
98310209,11838
98310217,11073
98310227,6945
98310240,8832
98310242,10714
98310243,2038
98310259,5585
98310260,9454
98310283,5456
98310284,5426
98310295,6701
98310326,2091
98310371,2322
98310492,2340
98310777,4705
98310786,5769
98311211,2557
98311571,2314
98311690,6215
98311691,6186
98311692,3785
98311693,6296
98311726,2727
98311727,2446
98311728,2379
98311780,3149
98312099,2501
98501057,5688
99999100,7524
99999934,8817
99999999,79203
100000000,148555
100000001,25298
100000005,2575
100000008,2035
100000009,2709
100000015,6824
100000017,3541
100000018,2110
100000113,2049
100000668,3259
100001001,9842
100003699,2551
100004146,2120
100005555,8155
100005888,3055
100006094,3023
100006666,5958
100007777,7779
100008888,4002
100010001,27081
100010002,2272
100010006,2920
100010007,3760
100014971,36231
100021665,5710
100021674,10703
100021685,16427
100021706,14557
100021708,13011
100021709,9705
100021969,14814
100021970,14275
100025137,2232
100036862,2418
100161615,5965
100161616,3302
100161617,10129
100161618,4925
100161619,10020
100161620,4989
100161621,5523
100197000,15661
100506940,5040
100700034,3029
100700052,2699
100700106,10252
100700127,2529
100700144,10323
100700146,3121
100700227,5072
100700231,4264
100700695,2761
100700762,2149
100700766,6340
100700767,10147
100700772,2361
100700775,4063
100700779,2197
100700806,3258
100700833,2067
100701098,3710
100701146,3667
100701337,3306
100701567,3555
100701729,16227
100701827,4326
100701853,3502
100701977,13594
100701981,3078
100702038,2151
100702529,3038
100702531,2461
100702574,6001
100702606,2965
100702670,5139
100702679,8286
100702921,2407
100703127,4831
100703173,2373
100703790,2755
100704186,3399
100705211,3485
100705310,2294
100705669,2502
100705859,2355
100705863,7272
100706178,2255
100706253,19545
100706257,20582
100710757,10814
100710931,7226
100710991,9769
100712239,2428
100712595,14912
100874605,2184
100876435,2102
100879309,3978
100880027,2188
100880028,2676
100880405,2055
100881533,3037
100881741,3256
100881831,2568
100883155,2213
100900000,69855
100900001,10908
100900002,7901
100900003,13186
100900004,9499
100900008,5703
100900009,7674
100900010,3438
100900012,7047
100900019,3874
100900020,2335
100900021,3060
100900033,3328
100900037,2330
100900038,2570
100900040,5793
100900042,7708
100900051,2832
100900065,2637
100900074,2203
100900082,5149
100900089,2248
100900109,6745
100900116,12718
100900119,2598
100900149,19425
100900162,2271
100900299,2013
100900417,3649
100900431,2978
100900516,2216
100900517,9035
100900701,4675
100900727,3044
100901001,2049
100901013,10854
100901061,3925
100901205,2342
100901206,2752
100902040,2462
100902067,2530
100902077,8672
100903064,2431
100903105,16555
100904016,3195
100904027,3036
100904057,2237
100905000,8411
100905555,2166
100912003,4570
100912345,16160
100912346,4190
100920003,5721
100922222,7282
101001001,10319
101001010,7868
101001020,2629
101001050,5387
101001051,3669
101001060,7616
101010100,2027
101010101,8108
101101001,15441
101101002,14171
101234567,31983
101306353,2251
101306904,2821
101307017,2266
101307108,2640
101406469,3428
101406487,15817
101406573,4621
101406838,7127
101406858,2716
101406888,5667
101406961,2389
101406962,2095
101407346,2549
101407570,2738
101407875,3240
101408029,13099
101408351,2889
101408386,2071
101408390,2069
101500705,4783
103103001,37338
103103002,13211
103103003,45821
103103004,5710
103103005,18345
103669999,2286
105105113,3368
106106129,2151
106106159,2109
106106160,2102
107374182,23960
109670525,4226
110000000,35898
110021210,3747
110030587,10058
110051420,2354
110123456,2379
110200436,3777
110300115,5400
110300325,4059
110300442,2064
110363180,3660
110700329,4307
110700852,9019
110700917,4523
110702817,2206
110703120,8983
110703143,3749
110703147,7844
110705748,2147
110705761,3829
110706289,4971
110706446,7438
110706456,2845
110706492,2442
110706763,3306
110706891,3316
110767890,2802
110777777,2681
110798998,3551
110881919,5352
110904226,4663
110982229,2356
110988000,3929
111000000,44090
111005163,2820
111005170,6064
111014009,4302
111100000,75819
111100154,4267
111100568,3326
111101111,13577
111106258,6560
111110000,3123
111111000,42839
111111110,52324
111111111,288862
111111112,55938
111111113,39718
111111114,7875
111111115,6469
111111116,4110
111111117,8797
111111118,6533
111111119,5723
111111121,9595
111111122,8312
111111123,8704
111111124,8732
111111127,8271
111111128,8911
111111129,4809
111111130,7657
111111131,8280
111111132,6291
111111133,8446
111111135,9752
111111136,9093
111111137,9200
111111138,10206
111111139,5114
111111153,5277
111111155,4438
111111156,3153
111111157,2108
111111161,3347
111111162,4373
111111163,4971
111111165,5765
111111166,3747
111111167,3813
111111168,6565
111111169,6405
111111170,6586
111111171,5229
111111172,5943
111111173,3429
111111175,2840
111111176,2396
111111178,2298
111111180,7207
111111181,7013
111111182,7762
111111183,7290
111111185,7383
111111186,7767
111111187,7798
111111188,6645
111111189,6416
111111190,3748
111111191,5251
111111192,5171
111111193,6747
111111195,5878
111111196,4276
111111197,3185
111111198,3728
111111199,4966
111111200,3978
111111201,5535
111111203,3241
111111206,4005
111111207,3343
111111208,3122
111111209,4154
111111210,3381
111111217,5085
111111218,2912
111111219,5893
111111220,6456
111111222,5221
111111223,5685
111111225,5547
111111226,8371
111111227,7245
111111228,6158
111111229,4598
111111231,2217
111111232,2574
111111233,2643
111111235,2255
111111236,3200
111111237,3182
111111239,4748
111111250,5370
111111251,2695
111111261,2072
111111267,2293
111111269,2078
111111302,17569
111111340,2079
111111347,2075
111111389,2588
111111737,2878
111130789,2586
111137796,2502
111150465,3457
111177862,3852
111178863,5369
111191622,29220
111202513,3792
111203371,3578
111203548,3073
111203873,7211
111204208,3328
111219501,5425
111219502,6716
111219503,5886
111219504,5481
111219505,4571
111219506,5823
111219507,2689
111219508,5212
111219513,18730
111219901,5647
111222000,21020
111222333,29664
111227501,7052
111250715,3213
111265584,2015
111357575,2017
111435663,3593
111480767,2074
111503018,8700
111503019,77423
111503020,43107
111503022,2761
111666888,12868
111667988,5796
111853581,12187
112233445,28286
112461278,2061
112925432,6531
113333333,5763
115677890,3403
117031690,2307
117897898,2484
118855500,41464
120000000,2396
120010123,5780
120700522,2698
120701454,2206
121203004,3866
121212121,10719
121548806,34780
122111121,19634
122292919,31156
122332223,2845
122408213,15859
123000000,11316
123000124,20805
123088888,2416
123123123,55346
123201007,7194
123321000,3052
123400128,2555
123412112,2751
123450000,2902
123450001,39904
123450002,12177
123450011,65236
123450020,20590
123450089,12145
123450099,7002
123450100,22449
123450800,17797
123451002,24631
123451234,12656
123454321,7006
123454322,28268
123456000,17289
123456002,6848
123456004,13269
123456123,24978
123456223,4425
123456268,3209
123456378,2554
123456780,19446
123456788,77275
123456789,325001
123456790,40204
123456792,18105
123456798,16443
123456888,4715
123456890,2397
123456978,3433
123478884,5932
123500000,18483
123546798,2226
123654789,5068
123678568,2375
123698574,2292
123842988,6415
123876800,4016
123888888,49544
123898989,7104
123986859,2177
124050100,36053
125369887,2587
125639874,9004
126568857,3394
130400920,5640
130500682,5630
130660453,2117
130700281,2656
130700433,2649
130700536,2227
130701733,2972
131100242,2390
131200434,2946
131201268,2368
131412668,2667
132347000,10327
134696513,4882
135135135,5161
135789085,21614
136141101,4023
136266382,3422
136601104,7736
138005145,2884
138005330,3421
138040178,4987
138550555,9421
138736860,10127
139766666,2913
140000021,4375
140000052,10133
140000140,2774
140000155,2485
140000183,2343
140000265,12224
140100083,2127
140300800,3314
140400034,2957
140400479,14096
140400613,2709
140402427,8595
140700857,2251
140701544,3563
140800084,2020
141000208,3507
141000258,2733
145752100,5369
145824453,7527
146003620,3456
147258369,9664
147852369,8207
149382685,3647
150000285,4570
150000317,10104
150024360,4872
150200046,2661
150200162,2518
150200373,2016
150200406,6314
150200411,3703
150200813,3197
150200885,2112
150200990,2853
150201065,3653
150201178,2147
150201202,4606
150201243,2751
150201276,26629
150201477,6517
150201499,4185
150201573,5036
150201770,2037
150201810,4870
150201840,2690
150202027,4336
150202118,2868
150202143,2602
150202207,3164
150202265,3048
150202320,2981
150202536,8577
150202662,5397
150202692,2050
150202707,2893
150202721,2941
150202934,3908
150202935,2126
150203045,4057
150203054,3002
150203108,22966
150203127,4247
150203145,5582
150203222,6295
150203451,9385
150203459,7924
150203465,10138
150203486,5889
150203522,2013
150203578,6553
150203582,2294
150203644,4369
150203680,6236
150203711,8599
150203712,5252
150203713,8429
150203714,9166
150203795,12072
150203823,3820
150203887,2350
150203888,4988
150203923,4330
150203930,6042
150203956,2264
150203965,2838
150204005,3348
150204014,2890
150204085,2705
150204093,2139
150204236,3142
150204240,7655
150204362,2551
150204368,2110
150204375,2571
150204414,4489
150204443,2495
150204461,3448
150205022,3034
150206007,5900
150224768,3711
150320010,2115
150320016,2930
150403024,3984
150408003,4248
150409029,4747
150409030,3654
150506005,2127
150506022,2558
150506025,2881
150623007,3085
150623008,7701
150623012,2674
150623037,7031
150706130,2451
150706144,4288
150706169,2023
150706178,3890
150706181,2016
150706188,3635
150706192,4144
150706200,3602
150709210,2131
150709212,2017
150709222,2001
150714264,2959
150714266,3077
150714276,2294
150714280,8607
150800020,2228
150800108,4470
150800111,2642
150800113,2163
150800118,5859
150800119,2770
150800235,2345
150823003,2097
150911002,11449
151125001,3543
151623489,6176
152000022,2910
152222233,3954
152222274,2605
153333314,4804
156121640,2151
156489123,7966
156505400,5318
157157157,2165
160819751,6429
161050436,17091
162105000,4230
162904474,2470
164392460,2622
165156100,2925
166053554,9371
166695734,2334
168168168,27353
168168268,2723
168681000,9307
168816866,15530
168888888,4922
170819841,3590
175393206,31293
180000009,2843
180819728,3198
183051663,2805
186576886,6802
190701094,2689
190701095,2327
190701129,4230
191283710,3369
191699543,3120
195039461,3875
195215126,12519
200000000,181480
200000001,13742
200000002,2448
200000006,35033
200000008,12945
200000012,3584
200000017,14788
200000029,4856
200000047,8155
200000051,7438
200000053,2599
200000054,2371
200000067,2058
200000069,5739
200000073,2390
200000075,3041
200000077,3943
200000079,10316
200000080,8142
200000088,5689
200000089,3864
200000100,2556
200000168,17739
200000190,2980
200000198,2606
200000202,4072
200000203,4237
200000208,3111
200000209,2721
200000210,3716
200000226,2373
200000229,4109
200000230,3225
200000231,2316
200000235,2602
200000238,3145
200000256,2437
200000263,3900
200000268,2054
200000287,2016
200000288,3257
200000295,5070
200000303,6208
200000310,5607
200000319,2343
200000321,2963
200000347,2725
200000351,7004
200000360,5644
200000361,5562
200000387,3380
200000429,2315
200000556,2138
200000584,3710
200000591,2722
200000596,24626
200000629,2647
200000661,2859
200000676,6442
200000706,2242
200000717,2460
200000761,5651
200000795,5671
200000801,2170
200000816,2484
200000929,13188
200000938,7390
200000953,3612
200000960,3026
200000969,2286
200000975,3562
200001019,3094
200001025,5283
200001031,9909
200001034,10859
200001056,2692
200001060,2293
200001061,2182
200001068,2578
200001069,5924
200001105,5069
200001112,2204
200001162,5292
200001164,3246
200001171,2750
200001215,3702
200001223,4645
200001245,2607
200001250,7674
200001386,15334
200001429,4898
200001490,3406
200001503,2763
200001506,9392
200001562,7791
200001597,9607
200001611,2243
200001618,6355
200001631,3307
200001673,9353
200001686,3335
200001811,5104
200001886,2275
200001892,6432
200001929,2475
200001959,4153
200002021,3987
200002028,2687
200002050,3681
200002055,5720
200002060,2201
200002093,3412
200002096,6819
200002104,2548
200002110,4227
200002118,6402
200002128,5064
200002143,2527
200002170,3042
200002198,2022
200002207,3465
200002222,2942
200002378,6243
200002407,5283
200002410,24708
200002429,6579
200002465,11062
200002484,3446
200002496,2203
200002532,4496
200002561,15372
200002607,3681
200002613,2709
200002626,3534
200002647,6994
200002722,2716
200002737,4082
200002773,11319
200002804,3970
200002870,5458
200002888,2135
200003004,4936
200003059,2819
200003085,8251
200003092,17632
200003093,7647
200003130,3159
200003131,3372
200003158,2138
200003162,2304
200003232,3814
200003289,45302
200003303,3301
200003311,2331
200003354,34125
200003362,6239
200003409,6277
200003447,10472
200003501,2630
200003510,4187
200003513,3479
200003523,5802
200003562,4389
200003585,2230
200003590,3344
200003613,5372
200003618,2554
200003653,6647
200003655,27517
200003731,2643
200003753,19667
200003772,6773
200003794,8797
200003795,9255
200003904,4374
200003913,8954
200003925,5567
200003926,9033
200003999,4471
200004027,3841
200004044,4839
200004062,4720
200004109,2743
200004133,2509
200004142,5386
200004166,3213
200004176,10265
200004215,2865
200004228,12630
200004247,2697
200004272,14013
200004285,3326
200004292,2014
200004335,8813
200004339,4492
200004348,14558
200004391,2880
200004405,4725
200004428,4886
200004438,2928
200004440,3405
200004446,4328
200004454,4292
200004533,3604
200004534,10730
200004563,2883
200004574,8697
200004607,4139
200004615,4905
200004627,2402
200004668,2465
200004674,17136
200004676,2566
200004686,6900
200004718,3634
