MMSI,Call sign,Selective call number,Name of station,Administration/ Geographical area,Lifeboats,Auxiliary installations (EPIRBs),General classification,Individual classification,Registration number,Gross tonnage,Capacity of persons on board,Telegraph transmission frequency bands,Telegraph transmission frequency bands 2,Accounting Authority Identification Code (AAIC)
203242100,OEX6684,,SEACAT,AUT,,,PL,YAT,N26974,"10,73",6,,V,
203246400,OEX6228,,NEREIDE,AUT,,,PL,YAT,B20899,"7,56",8,,V,
203253400,OEX6708,,OUR DREAM,AUT,,BE1,PL,YAT,W25356,"12,12",12,,V,
203255100,OEX5134,,ADRIENNE,AUT,1,,PL,YAT,W26216,"23,30",12,,V,AU01
203257100,OEX9455,,SANUK II,AUT,1,BE1,PL,YAT,W24055,"13,09",4,,V,
203259100,OEX6731,,AQUILA I,AUT,1,,PL,YAT,N29648,"6,05",8,,V,
203260100,OEX5409,,TWO BEARS,AUT,1,BE1,PL,YAT,W24009,"15,09",6,,V,
203262100,OEX4206,,GRIZZLY,AUT,,,PL,MTB,N24206,"1,05",6,,V,
203263100,OEX5170,,BADOREA,AUT,1,,PL,YAT,N31561,"13,4",6,,TUV,
203266400,OEX7124,,ANIMA 4,AUT,1,BE1,PL,YAT,W27124,"7,48",4,,V,
203284300,OEX2775,,SEAMARY II,AUT,,,PL,MTB,O32321,"4,44",8,,V,
203293400,OEX7272,,BEFANA,AUT,1,BE1,PL,YAT,W27272,"23,2",10,,V,
203303100,OEX6955,,SUN IV,AUT,1,,PL,YAT,ST31821,"19,48",6,,V,
203303200,OEX2072,,BIMBO,AUT,1,BE1,PL,MTB,K03560,"25,45",6,,V,AU01
203306100,OEX5028,S74320,CAYENNE,AUT,,BE1,PL,YAT,ST30467,"13,71",6,,V,
203312200,OEX8289,,MERLIN,AUT,,BE1,PL,YAT,N28289,"24,44",8,,TUV,AU01
203316100,OEX2000,,GIRL,AUT,1,BE1,PL,MTB,ST30505,"14,36",6,,V,AU01
203316200,OEX2473,,N-31800,AUT,,,PL,MTB,N31800,,8,,V,
203319300,OEX6058,,DESIDERA,AUT,,BE1,PL,YAT,O31892,"19,62",12,,V,
203322100,OEX5036,,XARIFA I,AUT,1,,PL,YAT,ST31405,"3,48",4,,V,
203324300,OEX6065,,BOGO,AUT,,BE1,PL,YAT,O32300,"15,78",12,,V,
203333100,OEX2001,,WITO,AUT,1,BE1,PL,MTB,ST32105,"16,51",10,,V,
203338300,OEX2867,,AENEA,AUT,1,BE1,PL,MTB,S25717,"26,56",15,,V,
203339100,OEX5038,,AEROPE,AUT,,,PL,YAT,ST31161,"11,47",8,,V,
203339300,OEX2868,,HABAKUK I,AUT,,,PL,MTB,S25693,"8,56",10,,V,
203341100,OEX5039,,SANTINA,AUT,,BE1,PL,YAT,ST30803,"16,75",7,,V,AU01
203341300,OEX5961,,MYRA,AUT,1,BE1,PL,YAT,S25466,"14,22",10,,V,
203342300,OEX5962,,MISS LILLY,AUT,1,BE2,PL,YAT,S25751,"12,24",6,,V,
203343200,OEX4407,,OLIVER,AUT,,,PL,MTB,N26014,"9,0",10,,V,
203343300,OEX2869,,ALEKA,AUT,,BE1,PL,MTB,S25753,"26,50",14,,V,DP02
203344300,OEX6402,,BOREVAL,AUT,1,BE1,PL,YAT,S25741,"10,7",6,,V,
203345300,OEX6403,,CANDI,AUT,,BE1,PL,YAT,S25578,"10,16",12,,V,
203351300,OEX5916,,ANYWHERE,AUT,,BE1,PL,YAT,ST34054,"4,7",10,,V,
203362400,OEX3738,,TOMS,AUT,1,,PL,YAT,N31520,"56,07",16,,V,
203364300,OEX2743,,BALU,AUT,,,PL,MTB,K48071,,8,,V,
203365300,OEX6008,,SCARABEUS II,AUT,,BE1,PL,YAT,ST32139,"15,16",9,,V,
203366300,OEX6009,,YOU 2,AUT,1,BE1,PL,YAT,ST33053,"22,0",12,,V,DP02
203367300,OEX6010,,CETUS,AUT,,BE1,PL,YAT,ST31984,"7,25",6,,V,
203368300,OEX6013,,KARIDES II,AUT,,BE1,PL,YAT,ST31329,"13,32",10,,V,
203369300,OEX6014,,PASSEPARTOUT,AUT,,BE1,PL,YAT,K01391,"12,74",8,,V,
203371300,OEX6015,,WOSAMMA,AUT,,,PL,YAT,ST32021,"6,94",6,,V,
203372300,OEX2809,,BLACK PEARL,AUT,,,PL,MTB,ST32217,"4,51",7,,V,DP02
203373300,OEX2813,,CARA MIA,AUT,,BE1,PL,MTB,ST33057,"7,54",8,,V,DP02
203374300,OEX6016,,NAIADE,AUT,,,PL,YAT,ST32238,"12,20",12,,V,
203375300,OEX6017,,DIANA,AUT,,,PL,YAT,ST32239,"18,03",16,,V,
203376300,OEX6018,,SWEET LADY,AUT,,,PL,YAT,ST32245,"9,82",8,,V,
203377300,OEX6019,,SOUL,AUT,1,BE1,PL,YAT,ST32029,"44,0",6,,V,
203378200,OEX6839,,CHIRENA,AUT,1,BE1,PL,YAT,W24839,"9,78",7,,V,
203378300,OEX6020,,FREE MEN,AUT,1,BE1,PL,YAT,K05122,"10,4",9,,V,
203379300,OEX6023,,ALITO,AUT,1,BE1,PL,YAT,ST31160,"15,34",10,,V,
203379400,OEX7379,,KIND OF BLUE,AUT,,,PL,YAT,W27379,"8,66",6,,V,DP02
203380100,OEX6954,,SAINT LUCIA,AUT,1,,PL,YAT,ST32227,"11,79",10,,V,
203381300,OEX6024,,PAPALAPAP 3,AUT,,BE1,PL,YAT,K05250,"11,92",6,,V,
203382300,OEX6025,,BALU,AUT,1,,PL,YAT,ST32215,"15,90",10,,V,DP02
203383300,OEX6026,,DISCORDIA,AUT,,BE1,PL,YAT,ST32180,"3,54",4,,V,DP02
203384300,OEX2816,,SPOTZL,AUT,,BE1,PL,MTB,ST33383,"5,02",8,,V,
203385300,OEX2817,,ELISA,AUT,,,PL,MTB,ST32160,"2,78",6,,V,
203386300,OEX2823,,LIBERTY,AUT,,BE1,PL,MTB,K05237,"3,43",12,,V,
203387300,OEX6022,,NANOOK,AUT,,,PL,YAT,ST32252,,7,,V,
203388300,OEX6028,,GIGUE,AUT,1,BE1,PL,YAT,ST32266,"16,0",10,,,
203389300,OEX6029,,WALKABOUT3,AUT,1,,PL,YAT,ST32269,"12,81",7,,V,DP02
203392200,OEX5270,,ARIOSA,AUT,,,PL,YAT,ST32043,"11,84",10,,V,AU01
203399100,OEX2011,,FRAMATHOBE,AUT,,,PL,MTB,ST31849,"1,94",6,,V,
203399400,OEX3025,,GIOIA,AUT,,BE1,PL,MTB,W27625,"13,03",8,,V,DP02
203401300,OEX6066,,O-32311,AUT,1,BE1,PL,YAT,O32311,"6,60",4,,V,
203402300,OEX6067,,ANDREA TRE,AUT,1,BE1,PL,YAT,O27409,"8,91",7,,V,DP02
203403300,OEX2975,,O-32198,AUT,,,PL,MTB,O32198,"2,0",7,,V,
203404300,OEX6070,,ANTINA,AUT,1,,PL,YAT,O30546,"8,44",6,,V,
203405300,OEX6073,,LUNA ROSSA,AUT,,BE1,PL,YAT,O32347,"17,31",12,,V,
203406300,OEX6101,,MOINMOIN,AUT,,,PL,YAT,O32103,,11,,V,
203407300,OEX2976,,BELLA SANDRA,AUT,,,PL,MTB,O31106,"2,67",7,,V,
203408300,OEX6102,,MAMA MIA,AUT,1,BE1,PL,YAT,O31469,"12,17",10,,V,
203409300,OEX6104,,ILLIRIA,AUT,1,,PL,YAT,O28217,"15,10",8,,V,
203411300,OEX6109,,BETA II,AUT,,BE1,PL,YAT,O22412,"9,66",8,,V,
203412300,OEX2977,,INKA,AUT,,,PL,MTB,O32315,"1,23",5,,V,
203413300,OEX2979,,DIGNITY,AUT,,,PL,MTB,O32348,"3,13",7,,V,
203414300,OEX2985,,O-31224,AUT,,,PL,MTB,O31224,"1,0",5,,V,
203415300,OEX2990,,DELFIN,AUT,,,PL,MTB,O29580,,6,,V,
203416300,OEX2993,,YVONNE,AUT,,,PL,MTB,O32041,,8,,V,
203417300,OEX2998,,APOLLO,AUT,,,PL,MTB,O32100,,9,,V,
203418300,OEX3014,,CARPE DIEM,AUT,,BE1,PL,MTB,O32455,"8,7",10,,V,
203419300,OEX3017,,SIRIUS,AUT,,,PL,MTB,O32394,"9,0",10,,V,
203421300,OEX3019,,LADY LENA,AUT,,BE1,PL,YAT,O32527,,,,V,
203422300,OEX6110,,AKILES,AUT,1,,PL,YAT,O32415,,10,,V,
203423300,OEX3023,,QUENTIN,AUT,1,BE1,PL,MTB,O26863,"6,22",6,,V,
203424300,OEX2530,,DAFFY,AUT,,,PL,MTB,,"3,90",8,,V,
203425300,OEX6113,,INDIGO,AUT,,BE1,PL,YAT,O32608,"11,88",6,,V,DP02
203426300,OEX3027,,PLUTO,AUT,1,BE1,PL,MTB,O28598,"6,39",8,,V,
203428300,OEX6030,,CHRISTINE,AUT,1,BE1,PL,YAT,K03521,"11,13",6,,V,
203429300,OEX6031,,LUIGI,AUT,1,BE1,PL,YAT,ST32254,"15,22",11,,V,
203431300,OEX6033,,STELLA DI MARE,AUT,1,,PL,YAT,ST32122,"11,15",8,,V,
203432300,OEX6034,,TRITON,AUT,1,BE1,PL,YAT,ST32150,"10,42",6,,V,
203433300,OEX6035,,KOPUKO 007,AUT,1,,PL,YAT,ST31244,"17,71",12,,V,
203434300,OEX6037,,MARY ANN,AUT,1,BE1,PL,YAT,ST32256,"11,44",8,,V,
203435300,OEX6038,,GERONIMO,AUT,,,PL,YAT,ST32258,"14,34",8,,V,
203437300,OEX6040,,JOY,AUT,1,BE2,PL,YAT,N30920,"28,64",8,,V,
203438300,OEX2824,,DANUBE PEARL,AUT,,,PL,MTB,ST32673,"6,04",8,,V,
203439300,OEX6042,,FLORIMELL,AUT,1,BE1,PL,YAT,K03810,"10,45",9,,V,DP02
203441100,OEX5046,,RITA,AUT,1,,PL,YAT,K02951,"9,54",8,,V,
203441300,OEX6043,,AURORA,AUT,,,PL,YAT,ST32298,"14,25",10,,V,
203442100,OEX5047,,ROZIKA,AUT,1,,PL,YAT,K02735,"8,84",10,,V,AU01
203442300,OEX6045,,RED TURTLE,AUT,1,BE1,PL,YAT,ST30755,"16,0",8,,V,
203443300,OEX2825,,LEROS,AUT,,BE1,PL,MTB,K05251,"4,2",4,,V,
203444300,OEX6046,,SUNNY SIDE UP,AUT,,,PL,YAT,ST32293,"4,59",8,,V,
203445300,OEX6047,,SAPPHIRE,AUT,,BE1,PL,YAT,ST35409,"9,55",10,,V,
203446300,OEX6130,,EOS,AUT,,,PL,YAT,K48523,"3,7",8,,V,DP02
203447300,OEX2832,,SAPO,AUT,,BE1,PL,MTB,K05316,"11,5",10,,V,
203448300,OEX2833,,AURORA,AUT,,,PL,MTB,ST31289,"5,06",6,,V,
203449300,OEX2834,,SOLO 2,AUT,,BE1,PL,MTB,K05315,"20,07",12,,V,DP02
203451300,OEX2835,,BACARDI FEELING,AUT,,BE1,PL,MTB,ST32301,"19,50",10,,V,
203452300,OEX6134,,TAMARA,AUT,2,BE1,PL,YAT,K05333,"36,58",10,,V,
203453300,OEX6135,,DEANJA,AUT,1,BE1,PL,YAT,K05337,"13,81",8,,V,
203454200,OEX2827,,MARY SUE III,AUT,,,PL,MTB,ST37014,"3,17",8,,V,
203457300,OEX2874,,KONSULAT,AUT,,,PL,MTB,S25767,"14,83",12,,V,DP02
203458300,OEX2875,,CARPE DIEM,AUT,,,PL,MTB,S25713,"8,53",10,,V,
203458400,OEX5972,,MUOZA,AUT,,,PL,YAT,,,,,,
203459300,OEX6404,,FORTUNA PRINCESS,AUT,,BE1,PL,YAT,S25763,"23,41",10,,V,DP02
203461300,OEX3223,,WHITE STAR,AUT,1,,PL,YAT,S25322,"29,17",10,,V,
203464300,OEX6405,,BE INSPIRED,AUT,1,BE1,PL,YAT,S25797,"16,19",8,,V,DP02
203466400,OEX5973,,DIOGENES,AUT,,,PL,YAT,T21783,"2,34",4,,V,
203467400,OEX5974,,SACARA TE MARE,AUT,,,PL,YAT,T22048,,8,,V,
203468400,OEX2263,,JULIX,AUT,1,BE1,PL,MTB,T21172,33,12,,V,DP02
203469400,OEX5976,,GALATHEA,AUT,1,,PL,YAT,T22065,,5,,V,
203472400,OEX5975,,SCAMPOLO II,AUT,1,BE1,PL,YAT,T22046,"15,06",10,,V,
203473400,OEX5977,,COLDPLAY,AUT,,,PL,YAT,T22072,"13,07",6,,V,
203474400,OEX5978,,MY DREAM,AUT,1,,PL,YAT,T22079,"17,27",10,,V,
203475400,OEX5979,,MON AMI,AUT,1,,PL,YAT,T22078,"13,93",8,,V,
203478400,OEX7051,,CLEGNES,AUT,,BE1,PL,YAT,N31051,"14,78",8,,V,
203479300,OEX5982,,KEYLAM,AUT,1,,PL,YAT,T22081,"13,93",8,,V,
203481300,OEX5980,,LYDIA II,AUT,1,,PL,YAT,T22054,,16,,V,
203483300,OEX5981,,DOLCE FAR NIENTE,AUT,1,,PL,YAT,V30076,"14,47",12,,V,
203484300,OEX5983,,SERENITY,AUT,,E1,PL,YAT,T22095,"7,56",6,,V,
203485300,OEX5984,,ANDRENA,AUT,1,,PL,YAT,T21933,"12,64",8,,V,
203486300,OEX5986,,SEEADLER,AUT,1,BE1,PL,YAT,T22040,"20,92",6,,V,DP02
203486400,OEX7575,,KNOCK ON WOOD,AUT,1,,PL,YAT,W27575,"2,84",8,,V,DP02
203487300,OEX5987,,CANTARA,AUT,1,,PL,YAT,T22116,"10,88",8,,V,DP02
203488300,OEX2455,,SYLVIE,AUT,,,PL,MTB,V8363,,6,,V,DP02
203489300,OEX5992,,SAMBA,AUT,1,BE1,PL,YAT,T22144,"14,9",6,,V,
203505400,OEX6050,,SAJANI,AUT,1,,PL,YAT,ST32212,"9,12",5,,V,
203533200,OEX5649,,TINERA,AUT,,BE1,PL,YAT,N27574,"8,83",6,,V,
203541400,OEX7741,,ALBATROS,AUT,,BE1,PL,YAT,W27741,"34,4",10,,V,DP02
203542400,OEX3642,,COCO DE MER,AUT,,BE1,PL,MTB,W27642,"12,58",7,,V,DP02
203545400,OEX3224,,ARIELLE,AUT,,,PL,MTB,N31854,"2,28",7,,V,
203548200,OEX9172,,AKOS,AUT,,BE1,PL,YAT,W28097,"85,19",16,,V,DP02
203552400,OEX7515,,GEOTAC,AUT,,BE1,PL,YAT,W27715,"12,99",6,,V,DP02
203570200,OEX5381,,SILVER PEARL,AUT,,,PL,YAT,ST31201,"6,6",6,,V,
203577400,OEX8235,,DRAGONFLY,AUT,,BE1,PL,YAT,N31235,"15,67",10,,V,
203609100,OEX5231,,TIFFANY,AUT,,BE1,PL,MTB,N31852,"36,84",12,,V,DP05
203609200,OEX5446,,ANGELINA,AUT,2,,PL,YAT,W28020,"19,43",8,,V,DP02
203617400,OEX7406,,CATAYA,AUT,,,PL,YAT,N31406,"35,45",12,,V,DP02
203623400,OEX6980,,ANNA MARIA V,AUT,,BE1,PL,YAT,N30980,"10,7",8,,V,
203638400,OEX7866,,SEA BREEZE II,AUT,,BE1,PL,YAT,W27866,"15,01",8,,V,
203641400,OEX3870,,FLYING LADY,AUT,,BE1,PL,MTB,B20873,"26,12",12,,V,
203642400,OEX3132,,KOKI,AUT,,BE1,PL,MTB,N31432,"7,22",9,,V,
203645400,OEX7560,,RIKI,AUT,1,,PL,YAT,N30560,"10,06",6,,V,
203646400,OEX7884,,BOHEME,AUT,,,PL,YAT,W27884,"6,6",6,,V,
203647400,OEX7496,,FENUA,AUT,1,BE1,PL,YAT,W27596,"22,63",8,,V,
203648400,OEX3285,,PIA,AUT,1,,PL,MTB,N30285,"4,29",10,,V,
203649400,OEX8466,,TINA II,AUT,,BE1,PL,YAT,N31466,"7,6",6,,V,DP02
203652400,OEX3613,,B-20613,AUT,,,PL,MTB,B20613,"4,82",10,,V,
203653200,OEX2887,,N-29487,AUT,,,PL,YAT,N29487,"4,17",8,,V,
203653400,OEX7839,,PLASTIK PLANKTON,AUT,1,BE1,PL,YAT,W27839,"9,9",8,,V,
203654400,OEX7684,,WINDY,AUT,1,,PL,YAT,W27684,"8,8",6,,V,
203655400,OEX8876,,SUNSHINE,AUT,,BE1,PL,YAT,B20876,"9,69",9,,V,DP02
203656400,OEX3150,,JOY,AUT,1,BE1,PL,MTB,N31448,"9,3",12,,V,
203657400,OEX3724,,KINGA ONE,AUT,,BE1,PL,MTB,W27824,"2,25",8,,V,
203658400,OEX7467,,JOYA,AUT,1,BE1,PL,YAT,N31467,"21,26",8,,V,
203659400,OEX7083,,POVERO DIAVOLO,AUT,,,PL,YAT,N31083,"2,48",6,,V,
203660200,OEX7378,,WATEA NUI,AUT,1,BE1,PL,YAT,N31330,"13,59",6,,V,
203661400,OEX3290,,PRINZESS OF IBIZA,AUT,,BE1,PL,MTB,N31494,"15,69",12,,V,
203662400,OEX7612,,SEMPER FI,AUT,,BE1,PL,YAT,W27612,"14,32",8,,V,
203663400,OEX3084,,LIDI,AUT,1,BE1,PL,MTB,N31491,"5,292",8,,V,
203664400,OEX6878,,ARGOS,AUT,1,BE1,PL,YAT,B20878,"21,36",10,,V,
203665400,OEX3279,,SUMMERDREAM,AUT,,,PL,MTB,N30879,"12,35",12,,V,
203667400,OEX7231,,TWEENY,AUT,1,BE1,PL,YAT,N31231,"14,18",11,,V,
203668400,OEX3796,,CHIARA,AUT,,,PL,YAT,W27896,"36,74",16,,V,
203669400,OEX3615,,SNOOPY,AUT,,BE1,PL,MTB,N31515,"5,82",14,,V,
203671400,OEX7708,,CABRINA,AUT,,,PL,YAT,W27708,"8,4",6,,V,
203672400,OEX3082,,CLAUDIA,AUT,,BE1,PL,MTB,W26524,"11,32",10,,V,
203673400,OEX3118,,CLAUDIA IV,AUT,,BE1,PL,MTB,W25075,"4,89",8,,V,
203674400,OEX7833,,PEREGRINA,AUT,1,BE4,PL,YAT,W27833,"17,76",11,,V,
203675200,OEX2666,,LITTLE BUDDHA,AUT,,,PL,MTB,N28666,"6,6",10,,V,
203676400,OEX6465,,BLUES CLAIR,AUT,,BE1,PL,YAT,W22465,"3,25",5,,V,
203678400,OEX6853,,DUGA,AUT,1,,PL,YAT,B20853,"15,32",10,,V,
203679400,OEX3214,,DOLCE VITA,AUT,,BE1,PL,MTB,W27927,"20,91",12,,V,DP02
203681400,OEX6887,,ZOE,AUT,,BE1,PL,YAT,B20887,"10,56",8,,V,
203682400,OEX3735,,N-31435,AUT,,,PL,MTB,N31435,"3,77",15,,V,
203683400,OEX3228,,ALLEGRO,AUT,,,PL,MTB,N27139,"3,23",6,,V,
203684400,OEX3234,,N-31479,AUT,,,PL,MTB,N31479,"1,68",6,,V,
203685400,OEX3576,,MISS SUNSHINE,AUT,,BE1,PL,MTB,N31357,"9,53",6,,V,
203686400,OEX3511,,MONTERAY,AUT,,BE1,PL,MTB,N31111,"7,94",8,,V,DP02
203687400,OEX3851,,EL-MA,AUT,1,BE1,PL,MTB,N31451,"32,07",12,,V,
203688400,OEX7859,,MAVIE,AUT,1,,PL,YAT,W27859,"13,55",10,,V,DP02
203689400,OEX7929,,GWYLAN IV,AUT,1,BE1,PL,YAT,W27929,"27,9",8,,V,DP05
203691400,OEX3711,,ARIELLE,AUT,,,PL,MTB,W20711,"4,69",8,,V,
203692400,OEX7485,,ROTGIPFLER,AUT,,BE1,PL,YAT,N31485,"12,26",8,,V,
203693400,OEX3513,,SAVI I,AUT,,,PL,MTB,N31466,"1,09",8,,V,
203694400,OEX7355,,LISA,AUT,1,BE1,PL,YAT,N31355,"11,74",7,,V,
203695400,OEX3514,,DANI,AUT,,BE1,PL,MTB,N31429,"3,21",8,,V,
203696200,OEX5407,,AUSTRIA ONE,AUT,,BE01,PL,YAT,ST31261,"22,64",8,,V,DP05
203696400,OEX7486,,ALICE,AUT,1,,PL,YAT,N31486,"2,98",5,,V,
203697400,OEX3744,,CAVALLUCCIO,AUT,,,PL,MTB,N31544,"10,94",8,,V,
203698400,OEX3517,,PEARL,AUT,,BE1,PL,MTB,W27391,"18,96",6,,V,
203699400,OEX4988,,NICO,AUT,,BE1,PL,MTB,W23874,"1,6",6,,V,
203701400,OEX7905,,IDA,AUT,,BE2,PL,YAT,W27905,"7,94",6,,V,
203702400,OEX3745,,XELA,AUT,,,PL,MTB,W27845,"2,55",6,,V,
203703200,OEX6765,,LIFEDREAM,AUT,1,,PL,YAT,,,10,,V,
203703400,OEX3521,,PETRA,AUT,,,PL,MTB,N31059,"4,5",8,,V,
203704400,OEX3789,,B-20889,AUT,,,PL,MTB,B20889,"3,14",8,,V,
203705400,OEX3522,,LUNATIC,AUT,,,PL,MTB,N30957,"23,49",12,,V,
203706400,OEX7940,,VALUNIC,AUT,,BE1,PL,YAT,W27940,"13,63",8,,V,DP02
203707200,OEX6769,,DORADO,AUT,,,PL,YAT,,"9,66",6,,V,
203707400,OEX8573,,SLALOM,AUT,1,BE2,PL,YAT,N31563,"15,06",10,,V,
203708400,OEX3537,,BELLA MIA,AUT,,,PL,MTB,N29938,"5,01",6,,V,
203709200,OEX6772,,CARLANA,AUT,,BE1,PL,YAT,,"19,85",12,,V,
203709400,OEX7954,,PURE,AUT,,BE1,PL,YAT,W27954,"3,26",6,,V,DP02
203710200,OEX3991,,EVITA,AUT,,,PL,MTB,O27352,"1,310",6,,V,
203711400,OEX3630,,ANAND,AUT,,BE1,PL,MTB,N31620,"29,8",8,,V,DP02
203712400,OEX8612,,SEA ROSE,AUT,1,,PL,YAT,N31612,"14,34",8,,V,
203714400,OEX3693,,LADY LI,AUT,1,,PL,MTB,W27793,"18,31",10,,V,DP05
203715400,OEX6783,,INSPIRATION,AUT,,,PL,YAT,N30083,"12,1",8,,V,
203716400,OEX7951,,AGLIOLIO,AUT,1,BE1,PL,YAT,W27951,"9,78",6,,V,
203717400,OEX7513,,SAPHIRA,AUT,1,BE1,PL,YAT,N31513,"7,99",8,,V,
203718400,OEX7979,,MAJA,AUT,1,BE1,PL,YAT,W27970,"13,59",6,,V,
203719400,OEX7249,,AUGUSTA,AUT,,,PL,YAT,W26249,"6,2",8,,V,
203721400,OEX8646,,RESIINI,AUT,,BE1,PL,YAT,N31646,"19,14",10,,V,
203722400,OEX6440,,SUSANKA,AUT,,BE1,PL,YAT,N31440,"13,75",8,,V,
203723400,"OE 7934
N",,BOASORTE,AUT,,BE1,PL,YAT,W27934,"10,54",8,,V,DP02
203724400,OEX7667,,ADRENALINA,AUT,,BE1,PL,YAT,N31667,"11,81",10,,V,DP02
203725400,OEX7425,,WOLING,AUT,,BE1,PL,YAT,N31425,"13,19",6,,V,
203726400,OEX8776,,CHRONOS,AUT,,,PL,YAT,B20776,"23,09",7,,V,
203727400,OEX3545,,STOLI,AUT,1,BE1,PL,MTB,W27996,"12,24",8,,V,
203729400,OEX8026,,MARO,AUT,,BE1,PL,YAT,W28026,"17,06",8,,V,
203731400,OEX8003,,LIBERTE,AUT,,,PL,YAT,W28003,"9,76",6,,V,
203732400,OEX6997,,BELLA,AUT,,,PL,YAT,N29997,"0,6",6,,V,
203733400,OEX3561,,NIGHTLIFE,AUT,,,PL,MTB,B20870,2,6,,V,
203734400,OEX3721,,SAGA,AUT,,BE1,PL,MTB,W28021,"6,89",6,,V,
203735400,OEX3808,,VIVENDI,AUT,,,PL,MTB,N31008,"10,73",6,,V,
203736400,OEX3861,,SILLIAN,AUT,1,,PL,MTB,N31161,"15,31",12,,V,
203737400,OEX6546,,EL MORYA,AUT,,BE1,PL,YAT,W28046,"11,1",6,,V,
203738400,OEX6443,,STELLA,AUT,1,BE1,PL,YAT,W28034,"16,11",8,,V,
203739400,OEX3564,,BLUE SHADOW II,AUT,,,PL,MTB,N31012,"10,45",10,,V,
203741400,OEX3565,,CAPSICUM,AUT,,BE1,PL,MTB,W28015,"10,98",6,,V,DP02
203742400,OEX7692,,HEDONA,AUT,,BE1,PL,YAT,N31692,"12,52",10,,V,
203743400,OEX7969,,2 HE 1,AUT,1,BE1,PL,YAT,W27969,"14,76",6,,V,
203744200,OEX9663,,FOOTLOOSE,AUT,1,BE1,PL,YAT,N29663,"8,8",6,,V,DP02
203744400,OEX3567,,N-22189,AUT,,,PL,MTB,N22189,"5,99",8,,V,AU01
203745400,OEX8554,,AELLA,AUT,,BE1,PL,YAT,N31554,"2,5",5,,V,DP02
203746400,OEX7966,,BABAKUSCH,AUT,,BE1,PL,YAT,W27966,"8,2",8,,V,
203747400,OEX7011,,SEAVOLUTION,AUT,1,BE1,PL,YAT,W28011,"7,6",13,,V,
203748400,OEX3648,,MARIE,AUT,1,BE1,PL,MTB,N30648,"17,68",10,,V,
203749200,OEX9639,,CALYPSO,AUT,1,BE1,PL,YAT,N31265,"4,5",6,,V,DP02
203749400,OEX7875,,BALUKAMI,AUT,,BE1,PL,YAT,W27975,"21,6",8,,V,DP02
203751400,OEX7418,,ANNA MARIA I,AUT,,,PL,YAT,N31418,"10,85",6,,V,DP02
203752400,OEX3585,,KATHARINA VI,AUT,,,PL,MTB,N27300,"5,06",6,,V,
203753400,OEX7953,,CALYPSO,AUT,,BE2,PL,YAT,W27953,"9,02",8,,V,
