MMSI,Call sign,Selective call number,Name of station,Administration/ Geographical area,Lifeboats,Auxiliary installations (EPIRBs),General classification,Individual classification,Registration number,Gross tonnage,Capacity of persons on board,Telegraph transmission frequency bands,Telegraph transmission frequency bands 2,Accounting Authority Identification Code (AAIC)
203002100,OEX2217,,ERIKA,AUT,,,PL,MTB,W21365,,8,,V,AU01
203058200,OEX2794,,TUAT GUAT,AUT,1,BE1,PL,YAT,N27794,"19,68",8,,V,AU01
203111400,OEX4631,,YLVI,AUT,,BE1,PL,MTB,N31105,"2,99",6,,V,AU01
203116200,OEX6722,,SEVENS,AUT,1,BE1,PL,YAT,N29009,"18,72",12,,V,
203125100,OEX2289,,N-23782,AUT,,,PL,MTB,N23782,"1,9",9,,V,
203169200,OEX4897,,JOHANNA,AUT,,,PL,YAT,N29756,"3,85",7,,V,
203170100,OEX4593,,MICHRI,AUT,1,BE1,PL,MTB,N26793,"7,21",8,,V,AU01
203170200,OEX5025,,CYRILLA,AUT,1,,PL,YAT,W24147,6,5,,V,
203174200,OEX5064,,DAKALI,AUT,,,PL,YAT,W26133,"4,83",6,,V,
203178300,OEX5619,,GRACE II,AUT,1,BE1,PL,YAT,S25529,"14,81",8,,V,
203180200,OEX2214,,GINGER,AUT,1,,PL,MTB,S25737,"34,34",12,,V,
203182200,OEX4916,,MONGA,AUT,,,PL,MTB,N24347,"2,94",6,,V,
203183300,OEX5629,,TRITONE,AUT,,BE1,PL,YAT,S25536,"16,75",12,,V,
203188400,OEX8727,,FLO-BEL,AUT,,BE1,PL,YAT,B20727,"21,76",12,,V,DP02
203189200,OEX2360,,VIOLETTA,AUT,,,PL,MTB,N30961,"10,59",10,,V,
203191200,OEX6302,,HANA MENU,AUT,,,PL,YAT,N29407,"6,54",6,,V,DP02
203197200,OEX5259,,PEGASUS II,AUT,,,PL,YAT,W24758,"9,34",6,,V,
203199400,OEX6998,,SEA WAS,AUT,1,BE1,PL,YAT,W26998,"7,86",6,,V,
203204400,OEX2826,,NO CHOCOLATE,AUT,,,PL,YAT,O32353,"2,36",6,,V,
203208200,OEX5146,,KIORE MOANA,AUT,1,BE1,PL,YAT,W24246,"11,27",7,,V,
203215100,OEX4015,,CHIARA,AUT,,,PL,MTB,W26876,"13,7",6,,V,
203220200,OEX5921,,SUSANNA,AUT,1,BE2,PL,YAT,N27440,"12,76",6,,V,AU01
203224300,OEX5030,,CHRISETTA,AUT,,,PL,YAT,ST31236,"8,72",7,,V,DP02
203226100,OEX4051,,SCHWERTI,AUT,,BE1,PL,MTB,N31482,"12,07",7,,V,AU01
203229100,OEX5007,,ARIANE,AUT,,,PL,YAT,N28788,"6,57",6,,V,
203235100,OEX4999,,JOSSY,AUT,1,,PL,MTB,W22899,"3,9",8,,V,
