mmsi,imo,valid_from
200001140,,2014-07-27
200001140,9090888,2014-05-31
204708000,9164548,2015-04-07
224124000,9238703,2012-05-25
224124000,9238703,2014-05-31
224434000,8817801,2014-12-04
244542000,8810786,2015-04-07
244790145,9085479,2015-04-07
244790145,9085479,2015-01-22
244820009,9120205,2015-04-09
245409000,9127982,2015-04-07
245409000,9127982,2015-04-09
245409000,9127982,2015-01-22
245973000,9135822,2015-04-07
249842000,8518807,2014-07-24
255802850,9150470,2015-04-07
273332290,9076272,2014-01-17
273351170,8320834,2014-12-16
273353640,8603171,2014-09-12
273358510,8216198,2015-01-12
273382550,8812801,2015-01-07
273385860,8502432,2015-01-07
273421470,7723065,2013-01-22
277099000,,2014-05-31
277247000,8818893,2014-05-31
277312000,8806242,2015-03-16
277312000,8806242,2014-05-31
277327000,,2014-05-31
277331000,,2014-05-31
277348000,9047257,2015-03-16
277397000,9047269,2015-03-16
306497000,8514784,2015-01-07
306497000,8514784,2014-05-31
306509000,8812796,2015-01-07
306752000,8813635,2015-01-07
306796000,8917211,2015-01-07
306862000,8807636,2013-03-14
306872000,9120217,2015-01-09
312097000,7507033,2013-01-16
312377000,8217104,2014-07-25
312387000,8223816,2014-05-31
312413000,9677595,2014-10-22
312534000,7816472,2014-09-02
312774000,8908739,2015-01-08
312774000,9158238,2014-09-23
312820000,,2014-07-25
312862000,8215936,2015-02-26
312887000,8800236,2015-04-29
312932000,,2014-11-05
334632000,5243700,2014-05-31
341703000,,2014-05-31
341838000,8210259,2015-04-07
351350000,9126261,2015-03-18
351370000,8612304,2014-05-31
351478000,8908076,2015-04-28
351574000,,2013-03-14
351574000,9395862,2012-08-02
351747000,9196357,2015-03-23
351747000,9196357,2015-04-07
352055000,9057393,2014-05-31
352085000,8518819,2015-04-24
352135000,7302299,2015-04-15
352241000,9314612,2015-04-28
352247000,8904070,2015-04-01
352313000,9003146,2014-05-31
352349000,9073385,2015-03-23
352351000,9072824,2015-04-28
352351000,9072824,2015-04-24
352367000,8860432,2014-05-31
352475000,8908234,2014-12-11
352515000,8324244,2015-01-07
352533000,8122385,2015-05-08
352545000,7710276,2015-05-11
352545000,7710276,2015-05-11
352715000,9642174,2014-05-31
352784000,9078282,2015-04-28
352796000,8810645,2015-03-18
352797000,8319562,2014-05-31
352844000,8512920,2015-03-27
352894000,9278612,2014-12-07
353019000,8502432,2014-12-11
353185000,9145920,2014-12-03
353185000,9145920,2014-09-18
353242000,8517815,2015-01-07
353242000,8517815,2014-05-31
353242000,8517815,2015-01-17
353306000,9184536,2015-01-07
353306000,9184536,2014-12-18
