mmsi,spoofing_hours,total_hours,spoofing_percent,overlapping_segments,num_segments
123456789,148422.0,85481.0,173.63,3962,1318
440773000,8636.7,10622.4,81.31,35,200
316012880,5669.3,6737.9,84.14,147,12
440787000,5054.7,12322.9,41.02,147,107
367061930,3451.8,14759.5,23.39,58,237
701007014,1432.4,14898.9,9.61,41,116
412420502,1215.0,9962.9,12.2,26,74
413222000,987.6,7300.3,13.53,9,18
412888887,870.8,1352.1,64.41,17,29
701006034,842.7,7703.8,10.94,17,13
412331035,817.8,3760.7,21.75,14,12
441072000,803.6,8752.6,9.18,13,1
412400155,782.5,7387.5,10.59,12,21
345140500,671.3,7295.4,9.2,30,211
412448626,578.3,1570.4,36.82,12,22
257303420,509.1,5181.6,9.83,2,12
412447093,499.3,5098.4,9.79,10,48
412412444,476.0,3946.2,12.06,19,47
412420197,458.5,9600.9,4.78,24,135
412201233,412.1,2439.2,16.9,11,18
238123456,399.7,8127.3,4.92,9,37
412413353,398.6,2418.0,16.49,6,15
412320033,386.1,4777.7,8.08,12,50
412420168,374.6,4665.9,8.03,12,31
413666661,332.6,3020.7,11.01,10,22
416004507,326.2,6777.9,4.81,10,13
412449961,305.0,3927.6,7.77,9,38
800000029,300.7,454.3,66.18,5,6
900300308,300.7,902.0,33.34,6,5
412326617,256.7,791.8,32.42,13,11
412001568,246.1,783.6,31.41,5,7
412421701,241.6,8606.0,2.81,8,26
412422352,241.0,5154.7,4.68,5,16
416000004,223.6,2788.7,8.02,3,17
789899988,222.1,151.5,146.56,6,3
235069008,220.6,7561.7,2.92,10,16
412415282,217.1,2607.1,8.33,6,19
413061986,214.8,1708.7,12.57,3,14
412448771,210.0,2247.4,9.35,5,23
412025120,207.3,2636.8,7.86,4,26
441251000,187.1,8328.2,2.25,4,6
412440151,186.1,3565.2,5.22,8,15
412004128,186.1,1586.8,11.73,3,21
412010156,184.3,1471.3,12.53,6,13
412443779,183.1,2924.9,6.26,5,20
412205637,181.2,2044.1,8.86,11,17
412450287,180.6,2465.9,7.32,3,26
200000051,179.4,2722.2,6.59,5,21
412420163,175.7,5300.4,3.32,5,33
412001888,167.3,609.2,27.46,4,9
412449889,166.8,749.8,22.25,6,5
412328237,164.4,491.5,33.45,3,5
412420809,159.2,8075.6,1.97,5,18
412349042,139.4,859.7,16.22,6,14
725003670,138.4,8604.6,1.61,4,2
212121212,136.5,1195.4,11.42,6,7
440125190,130.2,3997.1,3.26,4,36
412448839,130.1,1395.0,9.33,4,9
800033690,129.7,2494.5,5.2,3,22
412449914,123.9,2841.5,4.36,4,30
412320023,122.5,6246.6,1.96,6,34
503595000,122.4,2750.8,4.45,1,11
412333567,120.2,1457.1,8.25,1,15
412420331,117.2,7200.8,1.63,6,13
412410675,116.4,2653.3,4.39,6,37
412482028,110.7,674.6,16.41,3,9
412213456,107.0,1234.9,8.67,3,12
412440077,106.7,624.6,17.08,1,13
412424491,99.6,5796.2,1.72,3,27
412449946,99.2,2807.2,3.53,2,32
413999666,96.5,1100.4,8.77,3,13
412430362,95.4,2796.5,3.41,4,27
257405320,92.7,5958.3,1.56,3,18
412444545,91.7,3173.7,2.89,3,24
701000680,89.5,2910.0,3.07,4,6
412449817,86.5,2947.7,2.93,3,29
412412222,84.9,1296.5,6.55,3,15
412324222,84.7,1261.2,6.72,3,12
412469999,82.0,1588.2,5.16,1,15
412438724,82.0,1376.5,5.96,2,3
412555588,81.1,2215.4,3.66,2,21
200000037,81.0,311.6,25.98,2,2
412349156,80.9,2615.4,3.09,5,42
412323927,79.1,731.0,10.83,10,7
412450061,78.4,3445.9,2.28,2,30
412440000,78.2,3543.7,2.21,2,36
770576117,77.1,9040.0,0.85,7,16
412475392,76.4,488.8,15.63,1,4
412444965,74.5,3511.9,2.12,5,39
225374000,72.9,8840.0,0.82,3,14
800036789,70.4,2378.7,2.96,3,27
412423251,69.2,3959.8,1.75,3,27
800019462,68.8,1532.6,4.49,3,19
412205402,68.3,1639.1,4.17,4,22
800003372,68.2,2376.1,2.87,3,18
900403310,68.0,678.3,10.02,4,12
412435964,64.9,455.4,14.26,1,7
412437731,64.5,2669.2,2.42,3,23
900401208,64.4,395.7,16.28,1,7
412201512,64.4,178.4,36.11,3,3
247120500,63.5,2315.3,2.74,1,21
412470191,62.2,2082.9,2.99,2,22
412678050,61.4,9539.9,0.64,2,18
412427858,59.0,3889.5,1.52,2,25
412328786,58.7,8910.0,0.66,2,42
412300088,57.9,32.4,178.77,1,1
512085000,57.5,8848.9,0.65,1,11
412401220,57.5,4776.5,1.2,2,23
926000028,57.3,1019.8,5.62,1,3
412325431,57.0,612.0,9.32,3,10
412449638,56.8,2699.2,2.1,3,25
701000645,56.2,6328.7,0.89,2,9
412205577,55.8,1148.0,4.86,2,16
412435798,55.2,520.6,10.59,1,4
251116940,53.6,349.6,15.32,1,7
412004569,51.4,1412.9,3.64,2,17
412369868,51.1,3090.1,1.65,1,29
800031309,51.0,3105.8,1.64,1,28
412413018,48.9,114.7,42.67,3,1
412323556,48.8,232.1,21.04,2,5
412438813,48.5,2146.3,2.26,2,16
412358077,48.5,362.0,13.39,1,7
224587000,48.5,2988.6,1.62,1,19
412433937,48.4,2015.9,2.4,1,20
412202222,45.7,7098.0,0.64,1,49
412420934,45.6,7349.5,0.62,1,39
412420854,45.1,8703.8,0.52,2,4
998877000,44.0,1532.6,2.87,2,19
412025012,44.0,956.5,4.6,4,10
412212945,43.8,987.8,4.44,2,7
412320048,42.5,533.1,7.98,1,11
412449701,42.2,710.5,5.94,1,11
412413553,40.0,452.7,8.84,1,4
412418767,40.0,1297.8,3.08,2,6
412430028,38.7,1482.6,2.61,2,9
234781000,38.6,7109.1,0.54,1,24
251392000,38.5,8120.4,0.47,3,24
412201131,38.2,468.7,8.16,1,7
412449218,37.2,1042.5,3.57,1,10
412213679,36.6,906.7,4.04,2,11
271072131,36.0,772.8,4.65,1,8
412449096,35.9,2843.0,1.26,1,25
412466666,35.9,5140.8,0.7,3,44
366245070,35.7,3425.2,1.04,2,23
412449632,35.6,1958.8,1.82,2,21
412256789,34.5,991.6,3.48,1,13
412412223,32.1,1280.8,2.51,1,13
412320397,32.0,3693.7,0.87,2,32
412320898,31.5,1597.2,1.97,1,15
412443945,31.4,512.5,6.13,1,7
412325423,31.2,2170.4,1.44,4,16
412413948,30.6,1791.1,1.71,1,14
235004129,30.3,5270.2,0.57,1,37
412439068,30.3,2881.9,1.05,1,26
413887799,30.1,1581.8,1.9,1,15
412214567,29.5,792.3,3.73,3,13
412442015,29.3,660.7,4.44,2,8
701000880,29.1,8753.4,0.33,2,2
412364651,28.5,523.4,5.44,2,7
412325694,28.1,1267.5,2.22,2,11
412450031,27.9,2657.1,1.05,3,24
412449965,27.5,2052.2,1.34,1,19
273327440,27.3,5750.8,0.48,1,28
800003397,27.0,232.3,11.64,1,4
412449975,26.3,702.0,3.74,2,5
261005080,26.0,3061.6,0.85,1,45
412025038,25.7,1192.1,2.15,1,11
412321231,24.7,197.8,12.49,3,2
412422583,24.6,1710.9,1.44,2,14
412329607,24.4,576.6,4.23,1,10
412001508,24.2,1437.6,1.68,2,14
412437934,23.6,769.7,3.07,2,4
412422693,23.3,3746.4,0.62,4,19
412442049,23.2,1295.7,1.79,1,16
412202056,22.0,807.8,2.72,1,10
800037085,21.9,1854.5,1.18,1,13
900403180,21.7,122.7,17.7,1,4
412025066,21.1,2465.8,0.85,2,34
412000122,20.9,175.4,11.93,2,2
440654000,20.4,8760.1,0.23,1,2
412437086,20.4,484.3,4.22,1,5
412005767,19.8,984.0,2.01,2,9
412200008,19.6,920.0,2.13,1,15
412025317,18.8,2017.3,0.93,1,19
412324259,18.4,350.1,5.26,1,3
416002232,18.3,6232.4,0.29,1,20
412412165,16.2,1082.8,1.5,1,7
251408110,16.2,8772.2,0.18,1,3
412325298,15.9,2677.0,0.6,2,31
512000089,15.5,5558.3,0.28,1,5
412555589,15.2,1832.4,0.83,1,22
415000019,15.1,2569.5,0.59,1,19
900401128,14.3,119.9,11.94,1,4
412444513,14.2,2873.6,0.49,5,40
224188000,13.3,1616.3,0.82,1,2
412450328,12.9,538.9,2.39,1,5
412432063,12.4,2215.7,0.56,1,20
245703000,12.3,8005.7,0.15,1,85
900404298,12.2,260.7,4.67,1,6
412325275,11.6,811.3,1.43,1,13
412438888,10.9,3477.3,0.31,1,28
251287110,10.7,8753.8,0.12,1,9
412324496,10.4,249.0,4.19,1,2
412324128,10.1,1911.7,0.53,1,34
412211646,9.7,85.5,11.31,1,2
251598110,9.5,7798.1,0.12,1,15
701000674,9.0,3404.8,0.26,1,10
412410395,8.7,1250.8,0.69,2,6
412419204,8.4,386.8,2.16,1,4
412330798,8.4,355.9,2.37,2,4
251153000,8.1,8382.5,0.1,1,10
412412311,7.9,351.6,2.24,1,5
412422197,7.7,1838.3,0.42,1,15
412413255,7.4,1713.3,0.43,1,15
412205146,7.3,808.0,0.91,1,13
412445202,7.3,2749.4,0.26,4,35
412446107,7.0,1050.6,0.66,2,8
150203711,6.9,3093.7,0.22,1,16
412423672,6.9,2752.0,0.25,1,27
412188188,6.9,1393.9,0.49,1,18
412326235,6.6,540.0,1.23,1,9
412323503,6.5,199.0,3.24,1,3
412427888,6.3,2113.4,0.3,1,21
412326129,6.2,1322.4,0.47,2,14
412480368,6.1,539.0,1.13,1,8
412567898,5.3,1564.8,0.34,1,27
412410394,5.1,822.0,0.62,1,10
412422536,4.9,675.3,0.73,1,9
412428476,4.8,2397.6,0.2,1,23
412325299,4.6,681.4,0.67,2,10
440100970,4.6,1321.4,0.35,1,17
412323876,4.6,607.3,0.75,1,10
412442237,4.5,937.7,0.48,1,10
412413049,4.3,2150.0,0.2,1,18
926011072,3.9,140.3,2.76,1,2
412412004,3.7,985.5,0.38,1,9
412322699,3.5,813.4,0.43,1,9
800000331,3.4,613.8,0.55,1,11
412433676,3.3,1011.6,0.33,1,9
800004542,3.2,256.2,1.23,2,3
412324962,2.7,435.1,0.62,1,3
412443946,2.6,748.8,0.35,1,6
800016789,2.5,670.0,0.37,1,9
235002051,2.5,2659.9,0.09,1,31
412325345,2.4,551.4,0.43,1,6
412420455,2.2,2767.2,0.08,1,20
412321098,2.1,425.1,0.48,1,7
412321464,2.1,3338.8,0.06,3,41
412442741,1.9,230.5,0.81,1,4
251141110,1.9,8758.3,0.02,1,6
412256718,1.8,534.8,0.33,1,11
412214299,1.7,565.2,0.29,1,9
412123111,1.7,1608.6,0.11,1,16
412414581,1.6,1477.5,0.11,1,8
367070360,1.6,8056.9,0.02,1,25
412320038,1.6,2322.1,0.07,1,26
412461618,1.2,321.4,0.37,2,5
412323982,1.2,1412.0,0.08,1,9
412451066,1.1,882.3,0.13,1,8
412460888,1.1,626.9,0.18,1,8
412206929,1.1,188.4,0.57,1,2
412478293,0.9,1331.7,0.07,2,21
251156000,0.9,8757.8,0.01,1,9
400000012,0.7,2722.7,0.03,1,26
412223456,0.7,1372.4,0.05,1,9
412324201,0.5,815.3,0.07,1,17
412205868,0.4,680.9,0.06,1,8
416002923,0.2,6615.1,0.0,1,12
412449123,0.2,826.2,0.03,1,5
412445104,0.1,1555.0,0.01,1,18
760999991,0.1,2790.2,0.0,1,9
