mmsi,name_count
413000000,2726
0,2268
808664168,1770
808663912,1505
123456789,1441
412000000,1096
296747008,1056
100900000,849
211312160,767
211301380,754
211464420,710
111111111,637
1193046,616
305734000,569
412468480,548
999999999,496
1,487
211545300,477
246571000,456
50403345,452
888888888,438
808663857,423
366816340,408
216686296,387
205606000,385
246843000,380
100000000,379
205393000,368
305663000,359
125304832,355
338141018,338
987654321,335
273000000,328
268,312
538003852,298
222222222,295
481099776,294
859032780,290
216638488,290
246822000,280
211464260,279
305736000,275
258927000,274
412345678,270
205588000,267
211324470,261
219347000,259
305741000,258
211576900,258
211591710,258
229015000,256
691994624,243
524288,238
352594000,225
235088244,221
246199000,205
168,199
413800000,198
900000000,196
211188000,192
413888888,189
123,183
412330590,182
457306112,182
412353970,181
333333333,180
219000429,180
136348168,178
503000000,177
657010000,177
228027800,176
219348000,176
305030000,170
412123456,170
987643904,169
259591000,168
246699000,161
636091173,161
412206510,161
920101116,161
413500690,161
538004621,161
412763450,156
563021650,155
412888888,155
371861000,153
555555555,153
211224160,152
413123456,152
235091111,151
973471744,151
200000000,149
247313500,149
34087042,147
210207000,147
201326592,146
304050840,144
666666666,144
265866000,144
273318230,143
369970574,141
341765000,140
808466512,139
636092550,138
2,137
308090000,136
777777777,135
255804460,134
273000100,134
563021420,132
123456788,129
808464480,129
244645890,128
412000001,127
563026490,126
677056000,126
808466528,125
524292,125
412550470,124
808466536,123
12345678,123
11,122
247311100,117
413320480,116
211595610,115
244970000,115
244727000,113
303590528,113
413000001,112
525000000,112
173622464,112
223456789,111
201006210,111
416003021,110
808464464,110
411041805,110
211546890,109
245548000,109
211884000,109
211592740,108
412353940,108
246823000,108
413550020,108
211599340,108
211546860,107
410000000,107
211625860,107
400000000,107
354697000,106
808464496,106
216632216,106
808464488,105
503006520,104
211523490,104
808464456,104
563020750,103
636092433,103
211513820,103
229801000,102
538003098,102
244630550,101
271043343,101
566425000,101
583533793,101
99999999,100
412222222,98
563750000,98
236435000,98
710000000,98
232002833,97
258947000,97
1073741695,97
277336000,97
402655757,97
211433000,96
636091801,96
416000000,96
408315000,96
566223000,95
408821000,95
214709043,94
408564000,94
305815000,93
477802700,93
211172020,93
245385000,93
201208170,92
563914000,92
218172000,92
413419000,92
408521000,91
367628660,91
411041792,90
215299000,90
259139000,90
808466544,90
413999999,90
470359000,90
211470990,89
411041801,89
211282710,89
2734499,89
246128000,88
412300000,87
211526840,86
741358696,86
413333333,86
707800168,85
440000000,85
408340000,85
219019365,85
413666666,85
411041817,84
257200000,84
273342700,84
6496386,84
367340160,84
211477070,83
1073741823,83
470271000,83
211472070,83
413900000,83
211222800,82
266301000,82
636013060,82
408439000,82
538003097,81
701000001,81
411041834,81
211228220,81
253310000,81
300000000,81
411041838,81
408109900,79
563018490,79
412333333,79
808464432,79
413402390,79
411041850,79
411041816,79
305592000,78
408723000,78
412378760,78
564541000,78
701000655,78
312062000,78
211228510,78
563021660,77
412999999,77
411041797,77
408357000,77
538005615,77
244820793,77
525018271,76
408346000,76
244670918,76
413456789,76
999123456,76
9,76
218709000,76
249490000,76
411041852,75
411041809,75
408318000,75
563001280,75
411041826,75
211630370,75
211593560,75
376372000,74
1073741439,74
413700000,74
563017480,74
211480540,74
357937000,74
244050847,74
211318770,74
563003850,74
211513700,74
411041847,74
411041815,74
268268268,73
411041854,73
123456,73
64099848,73
636092079,73
413438410,73
253380000,73
413806093,73
444444444,72
411041843,72
412419520,72
533002050,72
412501280,72
524296,72
408522000,72
236111888,72
411041793,72
447089000,71
411041810,71
376436000,71
413128122,71
245992000,71
411041844,71
211590050,71
411041827,70
255805588,70
211225940,70
411041811,70
411041851,70
411041821,70
411041837,70
566657000,69
219266000,69
411041798,69
209467000,69
211233660,69
219019887,69
408306000,69
205094000,69
411041836,69
411041829,69
211318180,69
219018765,68
411041796,68
367100870,68
211205970,68
447190000,68
565173000,68
273340200,68
411041802,68
255805590,68
411041800,68
211591090,68
411041842,68
338860000,67
411041845,67
411041848,67
216684888,67
211386490,67
419000000,67
408201000,67
218384000,67
334597000,66
211466070,66
808466504,66
211588610,66
617125400,66
244670000,66
563018010,66
411041795,66
220010000,65
411041833,65
412509152,65
232197000,65
244830984,65
411041825,65
413500680,65
211226140,65
538005617,65
739542196,65
211468160,65
411041832,65
411041830,65
470000001,65
85760,65
413000008,65
311058300,64
411041840,64
411041813,64
411041824,64
411041855,64
411041806,64
244992000,64
245586000,64
411041808,63
710000389,63
408316000,63
412555555,63
219018864,63
201511903,63
408850000,63
200804300,63
700000000,63
413770000,63
211212410,63
563183000,63
411041820,63
477947100,62
412000002,62
412426010,62
411041828,62
244770199,62
211658290,62
710003420,62
710003740,62
411041818,62
563831000,62
411041835,62
470279000,62
376492000,62
701812000,61
408460000,61
4156,61
4,61
259210000,61
701006154,61
538005881,61
412111111,61
8,61
273348500,61
211282860,61
211204590,61
411041804,61
821559296,61
563021740,60
411041849,60
565243000,60
244620454,60
413371960,60
