mmsi,spoofing_hours,total_hours,spoofing_percent,overlapping_segments,num_segments
123456789,395706.1,85481.0,462.92,8439,1318
222222222,65731.9,35657.9,184.34,1886,607
701007014,5481.0,14898.9,36.79,85,116
354622000,5191.3,13274.7,39.11,63,80
412331079,4431.5,12756.8,34.74,47,67
440787000,3559.0,12322.9,28.88,101,107
412333333,3134.4,10122.5,30.96,73,100
412420405,2682.0,11301.9,23.73,23,30
367061930,2613.2,14759.5,17.71,104,237
412420502,2556.6,9962.9,25.66,59,74
440773000,1945.4,10622.4,18.31,104,200
412200146,1426.1,6681.3,21.34,26,53
412400155,1391.1,7387.5,18.83,13,21
412320023,1337.4,6246.6,21.41,18,34
440100000,1129.0,9856.1,11.45,13,16
416002477,1104.2,7310.7,15.1,9,22
345050700,1085.1,9184.6,11.81,49,52
273892110,1043.5,9635.9,10.83,24,46
312854000,997.1,7691.0,12.96,17,47
345140500,961.6,7295.4,13.18,84,211
412466666,941.1,5140.8,18.31,20,44
701006034,874.9,7703.8,11.36,8,13
412447093,872.7,5098.4,17.12,18,48
413222000,836.2,7300.3,11.45,7,18
412420197,820.8,9600.9,8.55,20,135
412678050,812.2,9539.9,8.51,12,18
257222222,795.8,3728.5,21.34,2,11
273828110,754.5,5426.0,13.9,15,42
412202222,736.5,7098.0,10.38,13,49
245449000,722.6,8480.8,8.52,27,62
271072246,632.0,3616.0,17.48,7,20
412686020,610.4,3492.0,17.48,8,15
238123456,603.3,8127.3,7.42,14,37
412420944,601.2,8219.4,7.31,15,24
366270000,596.7,9015.9,6.62,12,17
412420956,583.1,4204.3,13.87,9,13
412412444,558.3,3946.2,14.15,19,47
800033080,546.1,4034.0,13.54,6,26
416002251,468.1,2148.0,21.79,4,13
412422352,465.6,5154.7,9.03,12,16
312996000,441.7,5427.7,8.14,3,13
412412442,428.4,2897.4,14.79,7,20
512085000,428.2,8848.9,4.84,5,11
416003451,427.1,8621.5,4.95,3,9
412328786,422.3,8910.0,4.74,13,42
367411970,407.7,7832.2,5.21,8,26
412523126,333.3,3018.5,11.04,10,39
353038000,318.4,3426.1,9.29,4,15
412430362,304.2,2796.5,10.88,5,27
412444555,300.2,2788.5,10.76,5,20
367647210,296.3,8365.2,3.54,2,30
412331078,282.0,6688.1,4.22,6,45
