mmsi,spoofing_hours,total_hours,spoofing_percent,overlapping_segments,num_segments
770576062,251.2,2688.3,9.34,5,18
316012880,249.9,6737.9,3.71,5,12
246439000,243.5,8446.8,2.88,7,18
412320033,239.0,4777.7,5.0,5,50
760000770,238.5,2228.5,10.7,22,43
627066000,236.0,4210.2,5.61,1,3
416000205,234.8,2587.5,9.08,6,31
412050505,227.3,2904.6,7.82,4,34
412440000,225.5,3543.7,6.36,5,36
440125190,220.7,3997.1,5.52,8,36
244977000,218.2,8798.0,2.48,4,7
412448798,213.3,1453.8,14.67,3,12
200005566,202.0,3456.8,5.84,4,23
412444545,200.4,3173.7,6.31,5,24
412400057,197.6,1994.6,9.9,2,9
412443675,179.0,1460.7,12.25,8,21
412010156,175.8,1471.3,11.95,1,13
416000005,167.6,5244.5,3.2,9,77
366701650,164.6,3073.0,5.36,3,15
412002358,157.9,2433.7,6.49,3,21
366993020,152.4,6459.9,2.36,3,39
412420504,151.4,8079.1,1.87,3,26
412358888,146.4,5270.0,2.78,6,29
800033690,140.8,2494.5,5.65,4,22
245703000,139.4,8005.7,1.74,7,85
412435126,136.9,2688.3,5.09,3,22
800123456,121.6,2222.4,5.47,3,19
412333888,121.4,3014.9,4.03,3,30
412400001,119.6,1401.2,8.53,2,10
800043433,119.0,1256.7,9.47,2,7
412070707,116.9,2639.7,4.43,5,40
412420168,113.0,4665.9,2.42,2,31
412449305,112.2,2832.6,3.96,4,25
412000060,110.3,770.5,14.31,1,5
416000004,109.5,2788.7,3.93,3,17
263407550,109.4,5268.7,2.08,5,42
413270430,109.3,4546.3,2.4,17,83
200000012,105.3,2370.2,4.44,2,14
412435251,104.9,1977.5,5.3,2,14
412421701,104.4,8606.0,1.21,3,26
926012630,104.1,614.1,16.95,2,11
412449632,102.1,1958.8,5.21,3,21
412438888,102.1,3477.3,2.94,6,28
412448599,101.2,1660.5,6.1,4,19
412025038,98.7,1192.1,8.28,1,11
412449972,94.6,2652.9,3.57,4,32
412006688,94.4,1332.6,7.08,2,10
366996880,91.7,8160.9,1.12,5,38
412326877,90.7,6185.9,1.47,4,9
412354269,89.9,7728.2,1.16,6,13
412369061,87.7,1253.6,7.0,2,23
800037101,87.5,2279.3,3.84,3,29
412421356,86.3,7647.8,1.13,4,35
412422832,86.0,2207.3,3.89,2,19
412420163,83.9,5300.4,1.58,4,33
413056789,83.4,831.1,10.04,2,16
412413049,83.2,2150.0,3.87,1,18
412002348,80.9,1924.0,4.2,4,16
412478293,78.7,1331.7,5.91,2,21
416167900,78.7,8010.6,0.98,1,9
412421421,78.3,3930.6,1.99,5,34
412449967,77.4,1572.6,4.92,2,17
412420279,75.1,5446.6,1.38,3,31
367420490,74.9,8017.5,0.93,6,35
412415282,73.6,2607.1,2.82,1,19
412025066,72.2,2465.8,2.93,6,34
412448626,70.8,1570.4,4.51,3,22
367338850,70.7,8492.5,0.83,4,11
205161000,70.5,8249.2,0.85,2,21
416004319,70.1,6085.8,1.15,5,57
273416010,68.7,6160.4,1.11,4,8
900022212,67.7,561.6,12.05,1,5
412205541,67.4,2543.6,2.65,4,37
247120160,67.0,2882.9,2.32,1,27
412449645,65.7,3233.5,2.03,2,26
367687870,65.3,500.2,13.04,1,3
412188188,63.7,1393.9,4.57,3,18
997753357,63.5,887.5,7.16,1,7
412365021,62.7,2359.6,2.66,3,25
412324763,62.7,386.1,16.25,1,6
416000029,62.1,3919.9,1.59,1,9
412410694,61.9,2831.5,2.18,3,24
412213988,61.1,1388.5,4.4,2,19
800016013,59.0,1152.0,5.12,1,11
431704490,58.7,7401.7,0.79,1,16
412436928,58.7,1630.9,3.6,1,13
412448835,58.2,2145.7,2.71,2,18
412432909,58.0,300.0,19.34,1,3
367561870,57.9,7835.0,0.74,3,26
412450349,57.9,2801.5,2.07,2,25
416240800,57.5,8349.3,0.69,1,10
412450061,57.3,3445.9,1.66,2,30
412370008,56.7,4061.9,1.4,2,42
800005678,56.4,1987.0,2.84,4,22
412440499,55.7,4336.9,1.28,1,9
412320038,55.1,2322.1,2.37,3,26
200000288,54.9,866.5,6.33,1,10
367143710,54.5,8236.5,0.66,2,26
412555588,54.1,2215.4,2.44,1,21
412413253,54.0,1894.9,2.85,2,20
416004802,53.5,2196.5,2.44,1,19
367692120,53.3,2607.6,2.04,1,10
412111999,52.7,5230.9,1.01,2,19
412449946,50.6,2807.2,1.8,1,32
412005678,50.4,3057.2,1.65,3,33
412449922,50.4,1107.4,4.55,1,12
412325623,50.2,1508.7,3.33,1,17
412352139,50.0,1357.3,3.68,1,12
412349042,49.9,859.7,5.8,1,14
263377000,49.6,4705.1,1.05,2,73
412413414,49.5,1279.9,3.87,1,11
412567898,48.4,1564.8,3.09,3,27
412449638,47.9,2699.2,1.77,2,25
412366888,45.5,2130.8,2.14,2,14
251315240,45.5,15309.8,0.3,1,200
412428638,44.8,2545.6,1.76,3,25
367637970,44.4,8514.8,0.52,3,18
412439605,43.9,8548.5,0.51,1,6
412449096,43.5,2843.0,1.53,2,25
412447634,42.9,3314.4,1.29,1,9
259244000,42.9,7129.9,0.6,2,19
412568988,42.8,1264.8,3.39,3,21
412370545,41.9,744.2,5.63,1,7
416000818,41.7,5784.1,0.72,2,15
701006084,41.6,8408.9,0.49,2,43
905101688,41.2,902.5,4.57,1,8
245150000,41.0,3794.3,1.08,1,43
412900356,40.8,2055.4,1.99,2,37
416770000,40.5,2800.4,1.45,4,23
412423522,40.0,524.4,7.63,1,7
412001568,38.8,783.6,4.95,3,7
412448771,38.8,2247.4,1.73,2,23
412367718,38.3,1204.3,3.18,1,17
412444556,38.1,1297.7,2.94,2,20
800031309,37.1,3105.8,1.19,2,28
259647000,36.4,7464.8,0.49,3,20
412025012,35.9,956.5,3.75,1,10
412325431,35.2,612.0,5.76,1,10
412203447,35.2,4636.0,0.76,1,26
412449578,35.1,3056.9,1.15,3,28
440604000,35.1,5729.1,0.61,2,35
413001486,34.8,2576.8,1.35,1,26
412449914,34.8,2841.5,1.22,3,30
412345666,34.6,1201.1,2.88,2,19
413080089,34.5,1239.4,2.78,1,12
412416187,33.6,1540.3,2.18,2,16
412438868,33.6,1010.7,3.32,2,9
412450101,33.1,2250.7,1.47,2,29
412369856,32.6,2143.4,1.52,2,24
412325298,31.6,2677.0,1.18,3,31
367618990,30.6,8099.7,0.38,1,36
412420561,30.5,3159.9,0.97,2,17
905116766,30.5,552.4,5.53,1,5
800036789,30.3,2378.7,1.27,2,27
412450251,30.2,2655.0,1.14,2,30
413011000,30.2,2701.8,1.12,1,23
412420809,30.0,8075.6,0.37,1,18
412449965,30.0,2052.2,1.46,2,19
412325423,29.5,2170.4,1.36,1,16
412413817,29.1,925.7,3.14,1,3
412413988,29.1,1401.8,2.08,1,15
431797000,29.1,6722.3,0.43,1,3
416228600,27.9,650.4,4.29,1,7
503023550,27.8,5651.5,0.49,1,10
366916960,27.3,6334.6,0.43,2,27
412488988,27.2,2164.9,1.26,1,17
412449205,27.0,858.5,3.14,1,11
412596222,26.7,2174.9,1.23,1,24
412428476,26.6,2397.6,1.11,1,23
412213823,26.6,643.8,4.14,2,10
412324115,26.2,1768.5,1.48,2,24
412321464,25.9,3338.8,0.78,2,41
412480433,25.5,2852.4,0.89,1,23
413002288,25.2,1151.9,2.19,1,15
251184640,25.2,7623.2,0.33,1,9
367037240,25.2,9303.1,0.27,2,52
412460003,25.1,2736.5,0.92,1,4
503005980,24.5,740.5,3.31,1,7
412427039,23.7,3220.4,0.73,1,21
412448839,23.4,1395.0,1.67,1,9
412286356,23.2,2488.6,0.93,1,32
820040915,22.5,2476.0,0.91,2,22
412461317,22.4,3268.7,0.69,1,26
412411001,22.0,2459.0,0.89,1,24
412450031,21.7,2657.1,0.82,3,24
412449971,21.6,1993.8,1.08,1,18
224259000,21.4,6320.2,0.34,1,3
412427888,21.2,2113.4,1.0,1,21
412205402,21.1,1639.1,1.28,2,22
412286195,20.8,1810.8,1.15,1,21
412235676,20.8,214.2,9.71,1,5
245282000,20.0,8775.3,0.23,2,21
900000390,19.8,2540.5,0.78,1,17
251162340,19.3,6338.0,0.3,1,8
412433335,19.3,1339.4,1.44,1,12
224065000,18.9,5668.9,0.33,1,64
209212000,18.9,2747.7,0.69,1,28
224011150,18.6,3463.8,0.54,1,39
251083110,18.3,8770.8,0.21,1,13
412596668,18.2,4142.7,0.44,2,64
222256789,17.3,2277.8,0.76,1,44
432395000,16.3,4437.5,0.37,1,14
412449014,16.2,2054.0,0.79,1,19
412283596,15.8,1328.3,1.19,2,17
412213456,15.7,1234.9,1.27,1,12
111111118,15.4,1662.7,0.93,1,37
416002934,15.3,5795.0,0.26,1,7
412449198,15.0,2155.3,0.7,1,19
416234700,14.9,5990.4,0.25,1,15
412331106,14.5,3478.0,0.42,1,26
257200220,14.5,11993.8,0.12,1,74
413778422,14.5,609.8,2.37,1,4
412449817,14.4,2947.7,0.49,2,29
251540540,13.8,8748.1,0.16,1,4
412410675,13.7,2653.3,0.52,2,37
412205577,13.5,1148.0,1.17,1,16
367301390,13.2,7222.6,0.18,1,18
416000199,13.0,1134.2,1.14,1,15
440192000,12.7,7601.5,0.17,1,99
251408110,12.5,8772.2,0.14,1,3
412324201,11.5,815.3,1.42,3,17
412400069,11.5,4181.5,0.28,1,27
412285023,11.4,1438.7,0.79,1,13
235003589,11.3,4063.3,0.28,1,55
251468000,11.2,8751.5,0.13,1,12
701006609,10.9,10001.6,0.11,2,51
413201502,10.3,837.5,1.23,1,15
412352498,9.6,449.4,2.13,1,6
412215051,9.5,455.5,2.08,1,8
412320088,9.4,626.6,1.5,2,8
412446582,9.4,2692.3,0.35,1,21
413088896,9.2,3974.5,0.23,1,22
235002810,8.9,8295.4,0.11,1,11
412002518,8.7,1377.5,0.63,1,16
412442222,8.5,282.7,3.02,1,5
412444878,8.5,2495.4,0.34,1,36
412460002,8.4,5088.0,0.16,2,5
412001488,8.1,1468.1,0.55,1,13
412423536,7.7,1518.9,0.51,1,15
412002208,7.5,743.0,1.0,1,6
431000580,7.4,2806.4,0.26,1,36
412469618,7.4,1390.1,0.53,2,22
413811217,7.1,828.7,0.86,1,8
800003372,7.0,2376.1,0.3,1,18
412056888,6.6,742.8,0.89,2,10
367690430,6.5,2252.1,0.29,1,7
800035708,6.5,1215.6,0.53,1,12
412005008,6.2,844.7,0.73,1,12
412450009,6.2,2127.2,0.29,1,14
412423566,6.2,3078.7,0.2,1,22
416000006,6.0,3556.0,0.17,1,22
760000610,6.0,1868.8,0.32,2,6
413999666,5.9,1100.4,0.54,1,13
412596666,5.8,1914.4,0.3,1,19
412412427,5.4,1730.3,0.31,2,22
412303381,5.2,1250.4,0.42,1,9
316001870,5.1,5418.7,0.09,1,2
412008899,4.9,829.9,0.59,1,9
412432139,4.8,755.2,0.64,1,9
263415290,4.7,7717.7,0.06,1,8
367070360,4.7,8056.9,0.06,1,25
251184840,4.7,8764.6,0.05,1,4
367853000,4.7,3267.4,0.15,1,21
503362900,4.6,8309.2,0.06,2,34
412008002,4.6,1222.4,0.38,1,16
441667000,4.6,8764.2,0.05,1,2
338053768,4.6,752.7,0.61,1,5
659257000,4.6,4258.8,0.11,1,6
251151000,4.5,8659.0,0.05,1,12
412568569,4.5,2181.1,0.2,1,20
316001828,4.4,8685.5,0.05,1,5
431838000,4.4,8405.2,0.05,1,3
245310000,4.4,6428.6,0.07,1,42
204810000,4.3,4752.8,0.09,1,23
412420657,4.3,2755.7,0.16,1,24
224901000,4.2,8231.1,0.05,1,12
412349156,4.1,2615.4,0.16,2,42
412450287,4.1,2465.9,0.17,1,26
263408350,4.0,3038.6,0.13,1,51
428110000,4.0,2580.0,0.15,1,28
200000975,4.0,1086.4,0.36,1,9
200005317,3.9,3559.3,0.11,1,18
412421789,3.9,1519.5,0.25,1,18
412436679,3.8,952.4,0.4,1,10
412325362,3.7,729.9,0.5,1,11
412033143,3.6,352.4,1.02,1,8
367510820,3.6,6903.6,0.05,1,18
367615170,3.5,764.1,0.45,1,16
440662000,3.4,5003.4,0.07,1,6
224187770,3.4,4297.0,0.08,1,37
235000910,3.4,6921.0,0.05,1,17
412439477,3.4,1414.0,0.24,1,4
251166110,3.3,8764.2,0.04,1,7
412449247,3.1,2807.5,0.11,1,27
412324328,3.1,671.5,0.47,1,5
412890966,3.1,664.6,0.47,1,13
412002362,3.1,1986.6,0.16,1,33
255402650,3.1,4641.1,0.07,1,13
998877000,3.1,1532.6,0.2,1,19
376602000,3.0,6339.6,0.05,1,9
432507000,3.0,8048.0,0.04,1,11
251848370,3.0,5656.5,0.05,1,4
431801000,3.0,7528.1,0.04,1,17
244309000,3.0,8417.2,0.04,1,19
235050371,3.0,8441.5,0.04,1,14
412320396,3.0,1849.7,0.16,1,20
224134470,2.9,4502.5,0.06,1,23
220088000,2.9,7914.1,0.04,1,13
412325856,2.9,1002.6,0.29,1,15
263401690,2.8,3315.8,0.08,1,37
227118700,2.7,4893.4,0.05,1,43
503660600,2.7,5466.3,0.05,1,20
412325438,2.7,945.6,0.29,1,3
725004140,2.6,5933.0,0.04,1,2
412413099,2.5,1928.7,0.13,1,17
412442033,2.5,608.4,0.41,1,11
412328731,2.4,5651.2,0.04,1,73
219121000,2.4,7072.4,0.03,1,11
503018650,2.3,3232.9,0.07,1,46
431700150,2.3,7772.3,0.03,1,8
366899490,2.3,7025.1,0.03,1,6
412000998,2.2,1487.9,0.15,1,20
234079000,2.2,6066.2,0.04,1,23
412444965,2.1,3511.9,0.06,1,39
412418462,2.1,2896.1,0.07,1,32
412433515,2.1,1223.0,0.17,1,14
219006835,2.1,8748.5,0.02,1,8
412000099,2.0,2025.7,0.1,1,27
431602020,1.9,8593.4,0.02,1,8
368412000,1.9,4455.5,0.04,1,4
412425055,1.8,2256.2,0.08,1,30
263411780,1.8,2337.8,0.08,1,33
701006044,1.7,10174.4,0.02,1,70
231124000,1.7,8662.2,0.02,1,4
512027000,1.7,6111.2,0.03,1,8
227385000,1.7,3388.2,0.05,1,30
251269000,1.6,8751.3,0.02,1,11
412450341,1.6,1407.4,0.11,1,19
259758000,1.6,8748.6,0.02,1,8
226177000,1.6,7336.6,0.02,1,15
234690000,1.6,3266.3,0.05,1,35
231118000,1.6,7434.5,0.02,1,13
412446587,1.6,323.9,0.48,1,6
231116000,1.6,8727.3,0.02,1,7
251227000,1.6,8616.9,0.02,1,13
665111119,1.5,7285.8,0.02,1,4
412420913,1.5,8813.5,0.02,1,10
421123456,1.4,2568.4,0.06,1,34
412368688,1.4,739.5,0.19,1,14
412427858,1.4,3889.5,0.04,1,25
412433192,1.3,1200.4,0.11,1,10
247144390,1.3,3033.7,0.04,1,41
247142250,1.3,2431.2,0.05,1,33
701000778,1.2,8939.3,0.01,1,36
701006037,1.2,9733.1,0.01,1,46
701006214,1.2,6033.1,0.02,1,14
701030000,1.1,6425.2,0.02,1,19
247147420,1.1,2622.4,0.04,1,35
440854000,1.0,8608.3,0.01,1,13
263435000,1.0,5481.6,0.02,1,33
441219253,1.0,5165.8,0.02,1,5
440339000,1.0,8760.1,0.01,1,2
412329692,1.0,7238.3,0.01,1,11
412378999,0.9,1805.2,0.05,1,14
701000687,0.9,4613.9,0.02,1,2
244563000,0.9,7806.0,0.01,1,18
701000660,0.9,5578.2,0.02,1,9
412324128,0.9,1911.7,0.05,1,34
701000617,0.9,9167.5,0.01,1,29
416002923,0.9,6615.1,0.01,1,12
701100000,0.9,4838.8,0.02,1,6
503711500,0.9,6167.3,0.01,1,8
251038000,0.9,8707.0,0.01,1,10
412449943,0.9,2243.5,0.04,1,23
701006068,0.9,8251.3,0.01,1,15
412329686,0.9,7957.8,0.01,1,8
412437731,0.9,2669.2,0.03,1,23
701094000,0.9,7372.8,0.01,1,6
701006005,0.9,7037.7,0.01,1,4
263406570,0.9,6291.9,0.01,1,34
701000786,0.9,8752.5,0.01,1,27
412764850,0.7,5691.1,0.01,1,33
235005510,0.7,2393.8,0.03,1,35
701000928,0.7,5251.5,0.01,1,6
412061979,0.7,542.7,0.13,1,9
412433047,0.7,1009.3,0.07,1,13
224752000,0.6,8759.7,0.01,1,2
601155600,0.6,4366.2,0.01,1,18
412002188,0.6,1186.8,0.05,1,19
431935000,0.6,7970.5,0.01,1,12
431487000,0.6,7128.2,0.01,1,15
431722000,0.6,7668.4,0.01,1,21
432399000,0.6,4432.7,0.01,1,19
431769000,0.6,7460.7,0.01,1,12
431171000,0.6,8184.8,0.01,1,17
227144900,0.5,5571.7,0.01,1,13
237659000,0.5,1330.2,0.04,1,6
352956000,0.5,701.7,0.07,1,2
412555589,0.5,1832.4,0.03,1,22
273437810,0.5,6374.9,0.01,1,12
416004856,0.5,6348.6,0.01,2,13
412323926,0.4,1232.5,0.03,1,11
659070000,0.4,6602.1,0.01,1,11
261007950,0.4,11381.1,0.0,1,60
412320404,0.3,684.7,0.05,1,9
263407860,0.3,5759.4,0.0,1,51
412205637,0.3,2044.1,0.01,2,17
228106800,0.3,8197.9,0.0,1,13
224180740,0.3,2599.6,0.01,1,35
228239900,0.3,5140.9,0.0,1,41
412349781,0.2,1868.9,0.01,1,22
576736000,0.2,8089.4,0.0,1,11
412000985,0.2,460.9,0.05,1,2
412448806,0.2,2097.2,0.01,1,15
412445202,0.1,2749.4,0.0,1,35
367161930,0.1,8693.3,0.0,1,9
412422693,0.1,3746.4,0.0,1,19
701000674,0.1,3404.8,0.0,1,10
227102900,0.1,8261.3,0.0,1,12
412417558,0.1,543.2,0.02,1,7
224093750,0.0,4840.1,0.0,1,52
259449000,0.0,8604.4,0.0,1,6
316065000,0.0,8678.7,0.0,1,10
416112500,0.0,1041.5,0.0,1,10
412694550,0.0,3461.3,0.0,1,6
226230000,0.0,8412.9,0.0,1,10
230002550,0.0,7943.4,0.0,1,19
261009040,0.0,8668.4,0.0,1,6
